[4/23/23 08:10AM] Hades used command ::ref | Player rights = PLAYER	
[4/23/23 08:15AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 08:34AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 08:35AM] Hades used command ::dropoff | Player rights = PLAYER	
[4/23/23 08:35AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 09:03AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 09:05AM] Hades used command ::ninetails | Player rights = PLAYER	
[4/23/23 09:05AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 09:16AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 09:17AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 09:17AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 09:18AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 09:26AM] Hades used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:37AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 09:37AM] Hades used command ::ninetails | Player rights = PLAYER	
[4/23/23 09:37AM] Hades used command ::meruem | Player rights = PLAYER	
[4/23/23 09:38AM] Hades used command ::meruem | Player rights = PLAYER	
[4/23/23 09:38AM] Hades used command ::golden | Player rights = PLAYER	
[4/23/23 09:38AM] Hades used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:39AM] Hades used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 10:05AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 10:14AM] Hades used command ::train | Player rights = PLAYER	
[4/23/23 10:21AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 10:22AM] Hades used command ::collection | Player rights = PLAYER	
[4/23/23 10:24AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 10:25AM] Hades used command ::dropoff | Player rights = PLAYER	
[4/23/23 10:50AM] Hades used command ::vote | Player rights = PLAYER	
[4/23/23 10:51AM] Hades used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 10:52AM] Hades used command ::home | Player rights = PLAYER	
[4/23/23 10:54AM] Hades used command ::::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Hades used command ::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Hades used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:10AM] Hades used command ::collection | Player rights = PLAYER	
[4/23/23 11:10AM] Hades used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:10AM] Hades used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:12AM] Hades used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:47AM] Hades used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:54AM] Hades used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Hades used command ::golden | Player rights = GRACEFUL_DONATOR	
