[4/23/23 11:37AM] Beeffe used command ::train | Player rights = PLAYER	
[4/23/23 12:31PM] Beeffe used command ::veigar | Player rights = PLAYER	
[4/23/23 12:31PM] Beeffe used command ::veigar | Player rights = PLAYER	
[4/23/23 12:32PM] Beeffe used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:33PM] Beeffe used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:33PM] Beeffe used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Beeffe used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Beeffe used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Beeffe used command ::meruem | Player rights = PLAYER	
[4/23/23 12:34PM] Beeffe used command ::golden | Player rights = PLAYER	
[4/23/23 12:36PM] Beeffe used command ::train | Player rights = PLAYER	
[4/23/23 12:43PM] Beeffe used command ::ref noble | Player rights = PLAYER	
[4/23/23 01:01PM] Beeffe used command ::veigar | Player rights = PLAYER	
[4/23/23 01:07PM] Beeffe used command ::vboss | Player rights = PLAYER	
[4/23/23 01:31PM] Beeffe used command ::veigar | Player rights = PLAYER	
[4/23/23 01:33PM] Beeffe used command ::ninetails | Player rights = PLAYER	
[4/23/23 01:34PM] Beeffe used command ::meruem | Player rights = PLAYER	
[4/23/23 01:34PM] Beeffe used command ::vboss | Player rights = PLAYER	
