[4/22/23 05:09AM] Xtc used command ::home | Player rights = PLAYER	
[4/22/23 05:10AM] Xtc used command ::donate | Player rights = PLAYER	
[4/22/23 05:13AM] Xtc used command ::deals | Player rights = PLAYER	
[4/22/23 05:22AM] Xtc used command ::donate | Player rights = PLAYER	
[4/22/23 05:22AM] Xtc used command ::claim | Player rights = PLAYER	
[4/22/23 05:22AM] Xtc used command ::afk | Player rights = PLAYER	
[4/22/23 05:23AM] Xtc used command ::home | Player rights = PLAYER	
[4/22/23 05:24AM] Xtc used command ::claim | Player rights = PLAYER	
[4/22/23 05:24AM] Xtc used command ::claim | Player rights = PLAYER	
[4/22/23 05:24AM] Xtc used command ::yell kek | Player rights = PLAYER	
[4/22/23 05:26AM] Xtc used command ::yell juicy | Player rights = PLAYER	
[4/22/23 05:33AM] Xtc used command ::yell selling lili gloves | Player rights = PLAYER	
[4/22/23 05:39AM] Xtc used command ::yell selling $100 inname pm | Player rights = CLERIC_DONATOR	
[4/22/23 05:45AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:46AM] Xtc used command ::yell buying 3x3 aoe | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Xtc used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:52AM] Xtc used command ::yell buying 3x3 pm me | Player rights = CLERIC_DONATOR	
[4/22/23 05:53AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:56AM] Xtc used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 05:56AM] Xtc used command ::yell yuck | Player rights = CLERIC_DONATOR	
[4/22/23 05:57AM] Xtc used command ::yell buying 3x3 aoe pm | Player rights = CLERIC_DONATOR	
[4/22/23 05:57AM] Xtc used command ::Yell buying 3x3 aoe pm | Player rights = CLERIC_DONATOR	
[4/22/23 05:57AM] Xtc used command ::yell buying 3x3 aoe pm | Player rights = CLERIC_DONATOR	
[4/22/23 06:02AM] Xtc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:03AM] Xtc used command ::yell selling $235 in bonds pm | Player rights = CLERIC_DONATOR	
[4/22/23 06:04AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:16AM] Xtc used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 06:17AM] Xtc used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 06:18AM] Xtc used command ::yell if anyone wants to buy owner gloves pm me | Player rights = CLERIC_DONATOR	
[4/22/23 06:23AM] Xtc used command ::yell selling owner cape | Player rights = CLERIC_DONATOR	
[4/22/23 06:27AM] Xtc used command ::yell buying sov prayer scroll | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Xtc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34AM] Xtc used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:35AM] Xtc used command ::yell buying sov prayer scroll | Player rights = CLERIC_DONATOR	
[4/22/23 06:36AM] Xtc used command ::bank | Player rights = CLERIC_DONATOR	
