[4/22/23 01:13PM] Catdog used command ::refer | Player rights = PLAYER	
[4/22/23 01:13PM] Catdog used command ::red | Player rights = PLAYER	
[4/22/23 01:13PM] Catdog used command ::reffer | Player rights = PLAYER	
[4/22/23 01:13PM] Catdog used command ::reffer | Player rights = PLAYER	
[4/22/23 01:13PM] Catdog used command ::refer | Player rights = PLAYER	
[4/22/23 01:15PM] Catdog used command ::train | Player rights = PLAYER	
[4/22/23 01:24PM] Catdog used command ::vote | Player rights = PLAYER	
[4/22/23 01:26PM] Catdog used command ::reward  1 all | Player rights = PLAYER	
[4/22/23 01:26PM] Catdog used command ::reward1 | Player rights = PLAYER	
[4/22/23 01:26PM] Catdog used command ::reward 1 | Player rights = PLAYER	
[4/22/23 01:26PM] Catdog used command ::reward 1 | Player rights = PLAYER	
[4/22/23 01:30PM] Catdog used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 01:30PM] Catdog used command ::Voteboss | Player rights = PLAYER	
[4/22/23 01:32PM] Catdog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:33PM] Catdog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:34PM] Catdog used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:34PM] Catdog used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:34PM] Catdog used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:36PM] Catdog used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:41PM] Catdog used command ::upgrade | Player rights = GRACEFUL_DONATOR	
