[4/15/23 11:43PM] Fatal V1 used command ::shops | Player rights = PLAYER	
[4/15/23 11:43PM] Fatal V1 used command ::shops | Player rights = PLAYER	
[4/15/23 11:43PM] Fatal V1 used command ::shops | Player rights = PLAYER	
[4/15/23 11:44PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/16/23 07:52PM] Fatal V1 used command ::store | Player rights = PLAYER	
[4/16/23 08:06PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/16/23 08:07PM] Fatal V1 used command ::pos | Player rights = PLAYER	
[4/16/23 08:08PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/16/23 08:52PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/16/23 09:57PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/17/23 10:39AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/17/23 08:18PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/17/23 11:39PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/18/23 10:35PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/18/23 11:07PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/19/23 06:25AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/19/23 07:58AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/19/23 01:27PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/19/23 10:14PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/19/23 11:26PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/20/23 08:39PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/21/23 06:14PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/22/23 12:17AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 04:06AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 09:41AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 10:07AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 12:00PM] Fatal V1 used command ::veigar | Player rights = PLAYER	
[4/23/23 12:00PM] Fatal V1 used command ::vboss | Player rights = PLAYER	
[4/23/23 12:05PM] Fatal V1 used command ::meruem | Player rights = PLAYER	
[4/23/23 12:06PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 12:07PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 12:08PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/23/23 12:39PM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/24/23 09:13AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/25/23 01:36AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/25/23 11:38AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/25/23 11:39AM] Fatal V1 used command ::afk | Player rights = PLAYER	
[4/25/23 05:38PM] Fatal V1 used command ::afk | Player rights = PLAYER	
