[4/18/23 10:11AM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 10:15AM] Iron Life used command ::train | Player rights = PLAYER	
[4/18/23 10:18AM] Iron Life used command ::vote | Player rights = PLAYER	
[4/18/23 10:20AM] Iron Life used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 10:42AM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 10:42AM] Iron Life used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:42AM] Iron Life used command ::meruem | Player rights = PLAYER	
[4/18/23 10:43AM] Iron Life used command ::golden | Player rights = PLAYER	
[4/18/23 10:43AM] Iron Life used command ::train | Player rights = PLAYER	
[4/18/23 12:06PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 12:11PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 12:14PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 12:16PM] Iron Life used command ::vboss | Player rights = PLAYER	
[4/18/23 03:37PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 03:41PM] Iron Life used command ::veiger | Player rights = PLAYER	
[4/18/23 03:41PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 03:41PM] Iron Life used command ::ninetails | Player rights = PLAYER	
[4/18/23 03:45PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 03:54PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 04:05PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 04:11PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 04:12PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 04:14PM] Iron Life used command ::vboss | Player rights = PLAYER	
[4/18/23 04:15PM] Iron Life used command ::meruem | Player rights = PLAYER	
[4/18/23 04:39PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 04:40PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 04:41PM] Iron Life used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:42PM] Iron Life used command ::meruem | Player rights = PLAYER	
[4/18/23 04:42PM] Iron Life used command ::golden | Player rights = PLAYER	
[4/18/23 04:43PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 04:55PM] Iron Life used command ::vboss | Player rights = PLAYER	
[4/18/23 05:11PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 05:18PM] Iron Life used command ::dropoff | Player rights = PLAYER	
[4/18/23 05:29PM] Iron Life used command ::vboss | Player rights = PLAYER	
[4/18/23 05:30PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 05:30PM] Iron Life used command ::vboss | Player rights = PLAYER	
[4/18/23 05:32PM] Iron Life used command ::meruem | Player rights = PLAYER	
[4/18/23 05:35PM] Iron Life used command ::golden | Player rights = PLAYER	
[4/18/23 05:39PM] Iron Life used command ::home | Player rights = PLAYER	
[4/18/23 05:41PM] Iron Life used command ::veigar | Player rights = PLAYER	
[4/18/23 05:43PM] Iron Life used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:00PM] Iron Life used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11PM] Iron Life used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:13PM] Iron Life used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:14PM] Iron Life used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:37PM] Iron Life used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Iron Life used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Iron Life used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45PM] Iron Life used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:59PM] Iron Life used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11PM] Iron Life used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:13PM] Iron Life used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:40PM] Iron Life used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Iron Life used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Iron Life used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:06PM] Iron Life used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:31PM] Iron Life used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 08:32PM] Iron Life used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:33PM] Iron Life used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:34PM] Iron Life used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 05:45AM] Iron Life used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:28AM] Iron Life used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:29AM] Iron Life used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 06:31AM] Iron Life used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:32AM] Iron Life used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:32AM] Iron Life used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:33AM] Iron Life used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:34AM] Iron Life used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Iron Life used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Iron Life used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:38AM] Iron Life used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:54AM] Iron Life used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Iron Life used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Iron Life used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:22AM] Iron Life used command ::yell ALL TO ::vboss !! | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Iron Life used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Iron Life used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:44AM] Iron Life used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 07:47AM] Iron Life used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] Iron Life used command ::ninetails | Player rights = CLERIC_DONATOR	
