[4/15/23 11:51PM] Fanta used command ::ref | Player rights = PLAYER	
[4/15/23 11:55PM] Fanta used command ::train | Player rights = PLAYER	
[4/16/23 12:03AM] Fanta used command ::vote | Player rights = PLAYER	
[4/16/23 12:04AM] Fanta used command ::totem buff | Player rights = PLAYER	
[4/16/23 12:05AM] Fanta used command ::claimvote | Player rights = PLAYER	
[4/16/23 12:05AM] Fanta used command ::claimvote | Player rights = PLAYER	
[4/16/23 12:05AM] Fanta used command ::voted | Player rights = PLAYER	
[4/16/23 12:05AM] Fanta used command ::votes | Player rights = PLAYER	
[4/16/23 12:05AM] Fanta used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 12:23AM] Fanta used command ::veigar | Player rights = PLAYER	
[4/16/23 12:27AM] Fanta used command ::kc | Player rights = PLAYER	
[4/16/23 12:33AM] Fanta used command ::kc | Player rights = PLAYER	
[4/16/23 12:43AM] Fanta used command ::afk | Player rights = PLAYER	
[4/16/23 12:44AM] Fanta used command ::afk | Player rights = PLAYER	
[4/16/23 08:05AM] Fanta used command ::afk | Player rights = PLAYER	
[4/16/23 04:31PM] Fanta used command ::vote | Player rights = PLAYER	
[4/16/23 04:34PM] Fanta used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 05:01PM] Fanta used command ::voteboss | Player rights = PLAYER	
[4/16/23 05:41PM] Fanta used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:41PM] Fanta used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:42PM] Fanta used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:42PM] Fanta used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:52PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Fanta used command ::veiga | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:58PM] Fanta used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Fanta used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:22PM] Fanta used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:24PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:32PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:32PM] Fanta used command ::vrigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:32PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:33PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:01PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:33PM] Fanta used command ::merem | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:33PM] Fanta used command ::meruem | Player rights = GRACEFUL_DONATOR	
