[4/22/23 10:55PM] Ganon used command ::setpin | Player rights = PLAYER	
[4/22/23 10:55PM] Ganon used command ::pim | Player rights = PLAYER	
[4/22/23 11:02PM] Ganon used command ::veigar | Player rights = PLAYER	
[4/22/23 11:03PM] Ganon used command ::totem | Player rights = PLAYER	
[4/22/23 11:03PM] Ganon used command ::veigar | Player rights = PLAYER	
[4/22/23 11:05PM] Ganon used command ::train | Player rights = PLAYER	
[4/22/23 11:07PM] Ganon used command ::vboss | Player rights = PLAYER	
[4/22/23 11:07PM] Ganon used command ::vote | Player rights = PLAYER	
[4/22/23 11:08PM] Ganon used command ::fps | Player rights = PLAYER	
[4/22/23 11:09PM] Ganon used command ::hide | Player rights = PLAYER	
[4/22/23 11:11PM] Ganon used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:11PM] Ganon used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:11PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:11PM] Ganon used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12PM] Ganon used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:15PM] Ganon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:15PM] Ganon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:15PM] Ganon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:15PM] Ganon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:16PM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:17PM] Ganon used command ::train::Train | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:17PM] Ganon used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32PM] Ganon used command ::veidar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34PM] Ganon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35PM] Ganon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:36PM] Ganon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:36PM] Ganon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:02AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:27AM] Ganon used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Ganon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:06AM] Ganon used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:06AM] Ganon used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:14AM] Ganon used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:32AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:46AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:47AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:03AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/26/23 09:55PM] Ganon used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:05PM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:21AM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:33AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:01PM] Ganon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:02PM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:05PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:07PM] Ganon used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:07PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:08PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:08PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:08PM] Ganon used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:08PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:08PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:09PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:09PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:09PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:09PM] Ganon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:11PM] Ganon used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/27/23 08:35PM] Ganon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 08:45PM] Ganon used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 08:45PM] Ganon used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 10:11PM] Ganon used command ::reward 1 | Player rights = CLERIC_DONATOR	
