[4/22/23 09:38AM] Jmaster used command ::ref nobledefeat | Player rights = PLAYER	
[4/22/23 09:38AM] Jmaster used command ::ref | Player rights = PLAYER	
[4/22/23 09:39AM] Jmaster used command ::ref | Player rights = PLAYER	
[4/22/23 09:39AM] Jmaster used command ::youtube | Player rights = PLAYER	
[4/22/23 09:39AM] Jmaster used command ::Refer | Player rights = PLAYER	
[4/22/23 09:41AM] Jmaster used command ::Ref | Player rights = PLAYER	
[4/22/23 09:43AM] Jmaster used command ::starter | Player rights = PLAYER	
[4/22/23 09:44AM] Jmaster used command ::donate | Player rights = PLAYER	
[4/22/23 09:55AM] Jmaster used command ::slayer | Player rights = PLAYER	
[4/22/23 10:02AM] Jmaster used command ::donate | Player rights = PLAYER	
[4/22/23 10:05AM] Jmaster used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:08AM] Jmaster used command ::starter | Player rights = CLERIC_DONATOR	
[4/22/23 10:10AM] Jmaster used command ::Starter | Player rights = CLERIC_DONATOR	
[4/22/23 10:13AM] Jmaster used command ::Bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:13AM] Jmaster used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:13AM] Jmaster used command ::Starter | Player rights = CLERIC_DONATOR	
[4/22/23 10:23AM] Jmaster used command ::starter | Player rights = CLERIC_DONATOR	
[4/22/23 10:32AM] Jmaster used command ::viegar | Player rights = CLERIC_DONATOR	
[4/22/23 10:32AM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:34AM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:34AM] Jmaster used command ::mareum | Player rights = CLERIC_DONATOR	
[4/22/23 10:37AM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:38AM] Jmaster used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:39AM] Jmaster used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:49PM] Jmaster used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 03:01PM] Jmaster used command ::voted | Player rights = CLERIC_DONATOR	
[4/22/23 03:01PM] Jmaster used command ::rewards1 | Player rights = CLERIC_DONATOR	
[4/22/23 03:01PM] Jmaster used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Jmaster used command ::rewards 11 | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Jmaster used command ::Rewards all | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Jmaster used command ::rewards 2 | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Jmaster used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Jmaster used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:32PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:02PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:23PM] Jmaster used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:27PM] Jmaster used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 04:31PM] Jmaster used command ::nobel | Player rights = CLERIC_DONATOR	
[4/22/23 04:31PM] Jmaster used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 04:32PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Jmaster used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Jmaster used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Jmaster used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:47PM] Jmaster used command ::Refer fpkmerk | Player rights = CLERIC_DONATOR	
[4/22/23 04:57PM] Jmaster used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 05:02PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Jmaster used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:36PM] Jmaster used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 07:02PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33PM] Jmaster used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] Jmaster used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:42PM] Jmaster used command ::voteboss | Player rights = CLERIC_DONATOR	
