[4/19/23 04:28PM] Habit used command ::ref walkchaos | Player rights = PLAYER	
[4/19/23 04:28PM] Habit used command ::ref | Player rights = PLAYER	
[4/19/23 04:31PM] Habit used command ::home | Player rights = PLAYER	
[4/19/23 04:34PM] Habit used command ::train | Player rights = PLAYER	
[4/19/23 04:43PM] Habit used command ::vote | Player rights = PLAYER	
[4/19/23 04:43PM] Habit used command ::veigar | Player rights = PLAYER	
[4/19/23 04:45PM] Habit used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 04:45PM] Habit used command ::voteboss | Player rights = PLAYER	
[4/19/23 04:46PM] Habit used command ::voteboss | Player rights = PLAYER	
[4/19/23 04:47PM] Habit used command ::fps | Player rights = PLAYER	
[4/19/23 04:48PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:50PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:50PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:50PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:52PM] Habit used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:07PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:12PM] Habit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:13PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Habit used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Habit used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Habit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Habit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:19PM] Habit used command ::yell buying coll 1m bill coins @home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:45PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:50PM] Habit used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:50PM] Habit used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:50PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:08PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:08PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:09PM] Habit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Habit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Habit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:17PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Habit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:43PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] Habit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:47PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:52PM] Habit used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:13PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Habit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Habit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Habit used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Habit used command ::altars | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Habit used command ::altar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:42PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:13PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:15PM] Habit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:21PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:27PM] Habit used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:40PM] Habit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:43PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:59PM] Habit used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:19PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
