[4/22/23 05:03PM] Krieg used command ::veigar | Player rights = PLAYER	
[4/22/23 05:27PM] Krieg used command ::totem | Player rights = PLAYER	
[4/22/23 05:32PM] Krieg used command ::golden | Player rights = PLAYER	
[4/22/23 05:33PM] Krieg used command ::ninetail | Player rights = PLAYER	
[4/22/23 05:33PM] Krieg used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33PM] Krieg used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34PM] Krieg used command ::golden | Player rights = PLAYER	
[4/22/23 05:39PM] Krieg used command ::curse | Player rights = PLAYER	
[4/22/23 06:02PM] Krieg used command ::veigar | Player rights = PLAYER	
[4/22/23 06:18PM] Krieg used command ::collection | Player rights = PLAYER	
[4/22/23 06:19PM] Krieg used command ::log | Player rights = PLAYER	
[4/22/23 06:32PM] Krieg used command ::veigar | Player rights = PLAYER	
[4/22/23 06:34PM] Krieg used command ::meruem | Player rights = PLAYER	
[4/22/23 06:34PM] Krieg used command :::ninetails | Player rights = PLAYER	
[4/22/23 06:34PM] Krieg used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:35PM] Krieg used command ::meruem | Player rights = PLAYER	
[4/23/23 11:19AM] Krieg used command ::ref | Player rights = PLAYER	
[4/23/23 11:24AM] Krieg used command ::veigar | Player rights = PLAYER	
[4/23/23 11:28AM] Krieg used command ::noble | Player rights = PLAYER	
[4/23/23 11:33AM] Krieg used command ::achievement | Player rights = PLAYER	
[4/23/23 11:35AM] Krieg used command ::vote | Player rights = PLAYER	
[4/23/23 11:36AM] Krieg used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 11:44AM] Krieg used command ::voteboss | Player rights = PLAYER	
[4/23/23 11:54AM] Krieg used command ::veigar | Player rights = PLAYER	
[4/23/23 11:55AM] Krieg used command ::meruem | Player rights = PLAYER	
[4/23/23 11:55AM] Krieg used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:55AM] Krieg used command ::veigar | Player rights = PLAYER	
