[4/20/23 09:41AM] Sarma used command ::ref | Player rights = PLAYER	
[4/20/23 09:41AM] Sarma used command ::ref | Player rights = PLAYER	
[4/20/23 09:43AM] Sarma used command ::train | Player rights = PLAYER	
[4/20/23 09:44AM] Sarma used command ::vote | Player rights = PLAYER	
[4/20/23 09:49AM] Sarma used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:49AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 09:49AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 09:56AM] Sarma used command ::totem | Player rights = PLAYER	
[4/20/23 09:56AM] Sarma used command ::train | Player rights = PLAYER	
[4/20/23 10:00AM] Sarma used command ::Dr | Player rights = PLAYER	
[4/20/23 10:01AM] Sarma used command ::pos | Player rights = PLAYER	
[4/20/23 10:01AM] Sarma used command ::donate | Player rights = PLAYER	
[4/20/23 10:03AM] Sarma used command ::home | Player rights = PLAYER	
[4/20/23 10:06AM] Sarma used command ::train | Player rights = PLAYER	
[4/20/23 10:13AM] Sarma used command ::train | Player rights = PLAYER	
[4/20/23 10:15AM] Sarma used command ::totem | Player rights = PLAYER	
[4/20/23 10:15AM] Sarma used command ::train | Player rights = PLAYER	
[4/20/23 10:15AM] Sarma used command ::dr | Player rights = PLAYER	
[4/20/23 10:19AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:19AM] Sarma used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:20AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:22AM] Sarma used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:23AM] Sarma used command ::home | Player rights = PLAYER	
[4/20/23 10:24AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:26AM] Sarma used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:27AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Sarma used command ::meruem | Player rights = PLAYER	
[4/20/23 10:29AM] Sarma used command ::meruem | Player rights = PLAYER	
[4/20/23 10:30AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:30AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:32AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:32AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:36AM] Sarma used command ::prayer | Player rights = PLAYER	
[4/20/23 10:36AM] Sarma used command ::home | Player rights = PLAYER	
[4/20/23 10:36AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] Sarma used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:41AM] Sarma used command ::dr | Player rights = PLAYER	
[4/20/23 10:42AM] Sarma used command ::meruem | Player rights = PLAYER	
[4/20/23 10:44AM] Sarma used command ::mereuem | Player rights = PLAYER	
[4/20/23 10:44AM] Sarma used command ::meruem | Player rights = PLAYER	
[4/20/23 10:45AM] Sarma used command ::golden | Player rights = PLAYER	
[4/20/23 10:47AM] Sarma used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:49AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 10:54AM] Sarma used command ::voteboss | Player rights = PLAYER	
[4/20/23 11:05AM] Sarma used command ::totem | Player rights = PLAYER	
[4/20/23 11:06AM] Sarma used command ::shops | Player rights = PLAYER	
[4/20/23 11:06AM] Sarma used command ::heal | Player rights = PLAYER	
[4/20/23 11:14AM] Sarma used command ::totem | Player rights = PLAYER	
[4/20/23 11:49AM] Sarma used command ::veigar | Player rights = PLAYER	
[4/20/23 11:51AM] Sarma used command ::totem | Player rights = PLAYER	
[4/20/23 12:08PM] Sarma used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Sarma used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Sarma used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Sarma used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Sarma used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Sarma used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:22PM] Sarma used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:24PM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:35PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:37PM] Sarma used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:44PM] Sarma used command ::buff | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:09PM] Sarma used command ::ref lano | Player rights = CLERIC_DONATOR	
[4/20/23 01:14PM] Sarma used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Sarma used command ::last | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Sarma used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Sarma used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:50PM] Sarma used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 02:00PM] Sarma used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 02:01PM] Sarma used command ::dps | Player rights = CLERIC_DONATOR	
[4/20/23 02:01PM] Sarma used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Sarma used command ::buff | Player rights = CLERIC_DONATOR	
[4/20/23 02:23PM] Sarma used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 02:25PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 02:26PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 02:45PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 02:45PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Sarma used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:51PM] Sarma used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Sarma used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:00PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:23PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 03:28PM] Sarma used command ::Dr | Player rights = CLERIC_DONATOR	
[4/20/23 03:29PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 03:41PM] Sarma used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Sarma used command ::buff | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:51PM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 04:21PM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:39PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 04:39PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 04:40PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:11PM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:27AM] Sarma used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Sarma used command ::voted | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Sarma used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 02:42AM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:43AM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:50AM] Sarma used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 02:56AM] Sarma used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 03:03AM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:17AM] Sarma used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/21/23 03:17AM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:38AM] Sarma used command ::zones | Player rights = CLERIC_DONATOR	
[4/21/23 03:53AM] Sarma used command ::elo | Player rights = CLERIC_DONATOR	
[4/21/23 03:57AM] Sarma used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 04:05AM] Sarma used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 04:21AM] Sarma used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:24AM] Sarma used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 05:42AM] Sarma used command ::buff | Player rights = CLERIC_DONATOR	
[4/26/23 05:54AM] Sarma used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 06:35AM] Sarma used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:36AM] Sarma used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 06:37AM] Sarma used command ::voted | Player rights = CLERIC_DONATOR	
[4/26/23 06:37AM] Sarma used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 06:38AM] Sarma used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 06:58AM] Sarma used command ::Bank | Player rights = CLERIC_DONATOR	
[4/26/23 06:58AM] Sarma used command ::Bank::Bank::Bank::Bank::Bank::Bank::Bank::Bank | Player rights = CLERIC_DONATOR	
[4/26/23 06:58AM] Sarma used command ::Bank | Player rights = CLERIC_DONATOR	
