[4/17/23 11:03AM] Entropy used command ::refer fpk merk | Player rights = PLAYER	
[4/17/23 11:09AM] Entropy used command ::train | Player rights = PLAYER	
[4/17/23 11:14AM] Entropy used command ::train | Player rights = PLAYER	
[4/17/23 11:32AM] Entropy used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Entropy used command ::9tails | Player rights = PLAYER	
[4/17/23 11:33AM] Entropy used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:45AM] Entropy used command ::train | Player rights = PLAYER	
[4/17/23 11:52AM] Entropy used command ::meruem | Player rights = PLAYER	
[4/17/23 11:53AM] Entropy used command ::voteboss | Player rights = PLAYER	
[4/17/23 11:54AM] Entropy used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Entropy used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Entropy used command ::voteobss | Player rights = PLAYER	
[4/17/23 11:56AM] Entropy used command ::voteboss | Player rights = PLAYER	
[4/17/23 12:02PM] Entropy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Entropy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Entropy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Entropy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Entropy used command ::goldenape | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Entropy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Entropy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Entropy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Entropy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Entropy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Entropy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Entropy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Entropy used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:01PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:29PM] Entropy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Entropy used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:47PM] Entropy used command ::commands | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::gamble | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::commands | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::shop | Player rights = CLERIC_DONATOR	
