[4/15/23 06:01PM] Vihtic used command ::empty | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22240 | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22239 | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22238 | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22237 | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22236 | Player rights = DEVELOPER	
[4/15/23 06:01PM] Vihtic used command ::item 22235 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 22234 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 22233 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 22232 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 8832 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 6640 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 14882 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 15834 | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::random | Player rights = DEVELOPER	
[4/15/23 06:02PM] Vihtic used command ::item 8788 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::empty | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 2736 100 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 15003 50 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 15002 50 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 15004 50 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 20489 50 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 20491 50 | Player rights = DEVELOPER	
[4/15/23 06:03PM] Vihtic used command ::item 20490 50 | Player rights = DEVELOPER	
[4/15/23 06:19PM] Vihtic used command ::find bond | Player rights = DEVELOPER	
[4/15/23 06:19PM] Vihtic used command ::item 23059 | Player rights = DEVELOPER	
[4/15/23 06:19PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22214 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22215 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22216 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22217 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22218 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22219 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22220 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22221 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22220 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22222 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22223 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22224 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22225 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::item 22226 | Player rights = DEVELOPER	
[4/15/23 06:20PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:21PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:21PM] Vihtic used command ::random | Player rights = DEVELOPER	
[4/15/23 06:21PM] Vihtic used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 06:21PM] Vihtic used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 06:21PM] Vihtic used command ::bank | Player rights = DEVELOPER	
[4/16/23 05:57PM] Vihtic used command ::master | Player rights = DEVELOPER	
[4/16/23 05:57PM] Vihtic used command ::finditem | Player rights = DEVELOPER	
[4/16/23 05:57PM] Vihtic used command ::item 444 1 | Player rights = DEVELOPER	
[4/16/23 05:58PM] Vihtic used command ::find item pray | Player rights = DEVELOPER	
[4/16/23 05:58PM] Vihtic used command ::finditem infinite | Player rights = DEVELOPER	
[4/16/23 05:59PM] Vihtic used command ::finditem potion | Player rights = DEVELOPER	
[4/16/23 05:59PM] Vihtic used command ::finditem potion | Player rights = DEVELOPER	
[4/16/23 06:00PM] Vihtic used command ::item 23123 1 | Player rights = DEVELOPER	
[4/16/23 06:00PM] Vihtic used command ::item 23120 1 | Player rights = DEVELOPER	
[4/16/23 06:00PM] Vihtic used command ::item 23126 1 | Player rights = DEVELOPER	
[4/16/23 06:05PM] Vihtic used command ::staff | Player rights = DEVELOPER	
