[4/23/23 12:33AM] Life used command ::veigar | Player rights = PLAYER	
[4/23/23 12:34AM] Life used command ::bank | Player rights = PLAYER	
[4/23/23 12:44AM] Life used command ::vote | Player rights = PLAYER	
[4/23/23 12:45AM] Life used command ::reward 1 | Player rights = PLAYER	
[4/23/23 12:45AM] Life used command ::reward 1 | Player rights = PLAYER	
[4/23/23 12:45AM] Life used command ::reward 1 | Player rights = PLAYER	
[4/23/23 12:47AM] Life used command ::home | Player rights = PLAYER	
[4/23/23 12:50AM] Life used command ::voteboss | Player rights = PLAYER	
[4/23/23 12:56AM] Life used command ::home | Player rights = PLAYER	
[4/23/23 01:03AM] Life used command ::veigar | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::zones | Player rights = PLAYER	
[4/23/23 01:07AM] Life used command ::ones | Player rights = PLAYER	
[4/23/23 01:27AM] Life used command ::home | Player rights = PLAYER	
[4/23/23 01:32AM] Life used command ::veigtar | Player rights = PLAYER	
[4/23/23 01:32AM] Life used command ::veigar | Player rights = PLAYER	
[4/23/23 02:00AM] Life used command ::home | Player rights = PLAYER	
[4/23/23 02:02AM] Life used command ::veigar | Player rights = PLAYER	
[4/23/23 02:07AM] Life used command ::home | Player rights = PLAYER	
[4/23/23 02:08AM] Life used command ::bank | Player rights = PLAYER	
[4/23/23 02:35AM] Life used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:36AM] Life used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:36AM] Life used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:36AM] Life used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
