[4/22/23 12:08AM] Cheesedog used command ::ref | Player rights = PLAYER	
[4/22/23 12:42AM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 12:43AM] Cheesedog used command ::train | Player rights = PLAYER	
[4/22/23 12:43AM] Cheesedog used command ::vote | Player rights = PLAYER	
[4/22/23 12:47AM] Cheesedog used command ::train | Player rights = PLAYER	
[4/22/23 12:49AM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 01:02AM] Cheesedog used command ::veigar | Player rights = PLAYER	
[4/22/23 01:04AM] Cheesedog used command ::bank | Player rights = PLAYER	
[4/22/23 01:11AM] Cheesedog used command ::veigar | Player rights = PLAYER	
[4/22/23 01:13AM] Cheesedog used command ::shops | Player rights = PLAYER	
[4/22/23 01:13AM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 01:22AM] Cheesedog used command ::whatdrops | Player rights = PLAYER	
[4/22/23 01:23AM] Cheesedog used command ::whatdrops collector | Player rights = PLAYER	
[4/22/23 01:26AM] Cheesedog used command ::afkzone | Player rights = PLAYER	
[4/22/23 01:26AM] Cheesedog used command ::afk | Player rights = PLAYER	
[4/22/23 08:32PM] Cheesedog used command ::veigar | Player rights = PLAYER	
[4/22/23 08:33PM] Cheesedog used command ::ninetails | Player rights = PLAYER	
[4/22/23 08:34PM] Cheesedog used command ::meruem | Player rights = PLAYER	
[4/22/23 08:35PM] Cheesedog used command ::golden | Player rights = PLAYER	
[4/22/23 08:35PM] Cheesedog used command ::golden | Player rights = PLAYER	
[4/22/23 08:36PM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 08:54PM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 09:02PM] Cheesedog used command ::veigar | Player rights = PLAYER	
[4/22/23 09:03PM] Cheesedog used command ::home | Player rights = PLAYER	
[4/22/23 09:03PM] Cheesedog used command ::veigar | Player rights = PLAYER	
[4/22/23 09:20PM] Cheesedog used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Cheesedog used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:09PM] Cheesedog used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Cheesedog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Cheesedog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Cheesedog used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:40PM] Cheesedog used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02PM] Cheesedog used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06PM] Cheesedog used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06PM] Cheesedog used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] Cheesedog used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] Cheesedog used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] Cheesedog used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:07PM] Cheesedog used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:39PM] Cheesedog used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:40PM] Cheesedog used command ::afkzone | Player rights = CLERIC_DONATOR	
[4/22/23 11:40PM] Cheesedog used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 11:41PM] Cheesedog used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 11:43PM] Cheesedog used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:44PM] Cheesedog used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 11:49PM] Cheesedog used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:57PM] Cheesedog used command ::donate | Player rights = CLERIC_DONATOR	
[4/23/23 12:02AM] Cheesedog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:27AM] Cheesedog used command ::ixwarriors | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::commands | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::daily | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::dailys | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::commands | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::perks | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::commands | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::kills | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::commands | Player rights = CLERIC_DONATOR	
[4/23/23 12:28AM] Cheesedog used command ::global | Player rights = CLERIC_DONATOR	
[4/23/23 12:29AM] Cheesedog used command ::commands | Player rights = CLERIC_DONATOR	
[4/23/23 12:32AM] Cheesedog used command ::veiga | Player rights = CLERIC_DONATOR	
[4/23/23 12:32AM] Cheesedog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:33AM] Cheesedog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:34AM] Cheesedog used command ::global | Player rights = CLERIC_DONATOR	
[4/23/23 12:34AM] Cheesedog used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:36AM] Cheesedog used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:44AM] Cheesedog used command ::dropmessages | Player rights = CLERIC_DONATOR	
[4/23/23 12:44AM] Cheesedog used command ::dropmessage | Player rights = CLERIC_DONATOR	
[4/23/23 12:47AM] Cheesedog used command ::dropsmessage | Player rights = CLERIC_DONATOR	
[4/23/23 12:48AM] Cheesedog used command ::elo | Player rights = CLERIC_DONATOR	
[4/23/23 12:50AM] Cheesedog used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 01:03AM] Cheesedog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:07AM] Cheesedog used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:08AM] Cheesedog used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 11:09AM] Cheesedog used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 11:09AM] Cheesedog used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 11:09AM] Cheesedog used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 12:42PM] Cheesedog used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 12:45PM] Cheesedog used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 12:45PM] Cheesedog used command ::raids | Player rights = CLERIC_DONATOR	
[4/26/23 12:46PM] Cheesedog used command ::raids | Player rights = CLERIC_DONATOR	
