[4/21/23 06:12PM] Fee used command ::ref | Player rights = PLAYER	
[4/21/23 06:33PM] Fee used command ::veigar | Player rights = PLAYER	
[4/21/23 06:33PM] Fee used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:34PM] Fee used command ::mereum | Player rights = PLAYER	
[4/21/23 06:35PM] Fee used command ::mereum | Player rights = PLAYER	
[4/21/23 06:35PM] Fee used command ::meruem | Player rights = PLAYER	
[4/21/23 06:35PM] Fee used command ::golden | Player rights = PLAYER	
[4/21/23 06:35PM] Fee used command ::meruem | Player rights = PLAYER	
[4/21/23 06:35PM] Fee used command ::golden | Player rights = PLAYER	
[4/21/23 06:36PM] Fee used command ::vboss | Player rights = PLAYER	
[4/21/23 06:37PM] Fee used command ::veigar | Player rights = PLAYER	
[4/21/23 06:38PM] Fee used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:11PM] Fee used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:12PM] Fee used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:13PM] Fee used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
