[4/20/23 07:35AM] Jordu used command ::vboss | Player rights = PLAYER	
[4/20/23 07:39AM] Jordu used command ::dropoff | Player rights = PLAYER	
[4/20/23 07:50AM] Jordu used command ::veigar | Player rights = PLAYER	
[4/20/23 07:59AM] Jordu used command ::ref | Player rights = PLAYER	
[4/20/23 08:00AM] Jordu used command ::ref | Player rights = PLAYER	
[4/20/23 10:21AM] Jordu used command ::dropoff | Player rights = PLAYER	
[4/20/23 10:24AM] Jordu used command ::veigar | Player rights = PLAYER	
[4/20/23 03:55PM] Jordu used command ::dropoff | Player rights = PLAYER	
[4/20/23 04:19PM] Jordu used command ::veigar | Player rights = PLAYER	
[4/20/23 04:20PM] Jordu used command ::ninetales | Player rights = PLAYER	
[4/20/23 04:21PM] Jordu used command ::ninetales | Player rights = PLAYER	
[4/20/23 04:21PM] Jordu used command ::ninetails | Player rights = PLAYER	
[4/21/23 10:31AM] Jordu used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33AM] Jordu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34AM] Jordu used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Jordu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Jordu used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:12PM] Jordu used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:01AM] Jordu used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:03AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:03AM] Jordu used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:05AM] Jordu used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:33AM] Jordu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Jordu used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Jordu used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Jordu used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:00AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:47AM] Jordu used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Jordu used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:03AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33AM] Jordu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34AM] Jordu used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:37AM] Jordu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:38AM] Jordu used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] Jordu used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02AM] Jordu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:05AM] Jordu used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] Jordu used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08AM] Jordu used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] Jordu used command :::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] Jordu used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:54AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:57AM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:59AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:03PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:07PM] Jordu used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:07PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:10PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:11PM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:14PM] Jordu used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/22/23 12:14PM] Jordu used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/22/23 12:15PM] Jordu used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/22/23 12:30PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:33PM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:34PM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:35PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:53PM] Jordu used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:57PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:03PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:04PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:31PM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:31PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:41AM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 03:46AM] Jordu used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 03:48AM] Jordu used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 03:53AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/26/23 04:11AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:30AM] Jordu used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 05:41AM] Jordu used command ::skill | Player rights = CLERIC_DONATOR	
[4/26/23 05:41AM] Jordu used command ::commands | Player rights = CLERIC_DONATOR	
