[4/19/23 01:53PM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 05:32AM] Kenny used command ::veigar | Player rights = PLAYER	
[4/21/23 05:34AM] Kenny used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:36AM] Kenny used command ::golden | Player rights = PLAYER	
[4/21/23 05:36AM] Kenny used command ::golden | Player rights = PLAYER	
[4/21/23 05:37AM] Kenny used command ::golden | Player rights = PLAYER	
[4/21/23 05:39AM] Kenny used command ::vote | Player rights = PLAYER	
[4/21/23 05:41AM] Kenny used command ::reward 2 | Player rights = PLAYER	
[4/21/23 05:41AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:41AM] Kenny used command ::reward 2 | Player rights = PLAYER	
[4/21/23 05:41AM] Kenny used command ::reward1 | Player rights = PLAYER	
[4/21/23 05:41AM] Kenny used command ::reward 2 | Player rights = PLAYER	
[4/21/23 05:42AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:42AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:42AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:42AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:42AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/21/23 05:50AM] Kenny used command ::donate | Player rights = PLAYER	
[4/21/23 05:55AM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 05:55AM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 05:55AM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 05:55AM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 05:55AM] Kenny used command ::zones | Player rights = PLAYER	
[4/21/23 05:56AM] Kenny used command ::ref | Player rights = PLAYER	
[4/21/23 05:57AM] Kenny used command ::home | Player rights = PLAYER	
[4/21/23 06:03AM] Kenny used command ::veigar | Player rights = PLAYER	
[4/21/23 06:10AM] Kenny used command ::bank | Player rights = PLAYER	
[4/21/23 06:10AM] Kenny used command ::home | Player rights = PLAYER	
[4/22/23 04:10AM] Kenny used command ::vote | Player rights = PLAYER	
[4/22/23 04:11AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/22/23 04:11AM] Kenny used command ::rewards 1 | Player rights = PLAYER	
[4/22/23 04:11AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/22/23 04:32AM] Kenny used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] Kenny used command ::meuem | Player rights = PLAYER	
[4/22/23 04:34AM] Kenny used command ::mereum | Player rights = PLAYER	
[4/22/23 04:35AM] Kenny used command ::meruem | Player rights = PLAYER	
[4/22/23 05:30AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/22/23 05:30AM] Kenny used command ::reward 1 | Player rights = PLAYER	
[4/22/23 05:32AM] Kenny used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33AM] Kenny used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34AM] Kenny used command ::golden | Player rights = PLAYER	
[4/22/23 06:09AM] Kenny used command ::ref | Player rights = PLAYER	
[4/22/23 06:32AM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Kenny used command ::nientails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Kenny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Kenny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Kenny used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Kenny used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:42AM] Kenny used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:47AM] Kenny used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:48AM] Kenny used command ::bosses | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:56AM] Kenny used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:57AM] Kenny used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:57AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:59AM] Kenny used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:04PM] Kenny used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:06PM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Kenny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Kenny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Kenny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:15PM] Kenny used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:16PM] Kenny used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Kenny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Kenny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:37PM] Kenny used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:39PM] Kenny used command ::wrecked | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:40PM] Kenny used command ::wrecked | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:43PM] Kenny used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:46AM] Kenny used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:47AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:48AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:51AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:51AM] Kenny used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Kenny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:09AM] Kenny used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:04AM] Kenny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:04AM] Kenny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:04AM] Kenny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Kenny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:06AM] Kenny used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:27AM] Kenny used command ::home | Player rights = GRACEFUL_DONATOR	
