[4/22/23 07:39PM] Roger used command ::Voteboss | Player rights = PLAYER	
[4/22/23 07:45PM] Roger used command ::train | Player rights = PLAYER	
[4/22/23 08:01PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:02PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:05PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:10PM] Roger used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:13PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:21PM] Roger used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:25PM] Roger used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32PM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32PM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34PM] Roger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:39PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:44PM] Roger used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:46PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:01PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:06PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:07PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:08PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:13PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:20PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:22PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:25PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:26PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:27PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33PM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Roger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:35PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:38PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:40PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:40PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:46PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Roger used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:57PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:59PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Roger used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:13PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:16PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:18PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:20PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:25PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:29PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:30PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:42PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:18AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:24AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33AM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:03AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:08AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:14AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:19AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:29AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:44AM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::nighter | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::tagalong | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:57AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:05AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:09AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:12AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:21AM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:19AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:20AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:25AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:25AM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:28AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:31AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:33AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:37AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:40AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:43AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:49AM] Roger used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:51AM] Roger used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:53AM] Roger used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::ninetailsd | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:37AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:41AM] Roger used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:45AM] Roger used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:49AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:50AM] Roger used command ::classic | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:54AM] Roger used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:54AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Roger used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 07:35AM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 07:36AM] Roger used command ::Vote | Player rights = CLERIC_DONATOR	
[4/26/23 07:36AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 07:37AM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 07:37AM] Roger used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 07:48AM] Roger used command ::ref | Player rights = CLERIC_DONATOR	
[4/26/23 08:35AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:37AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:37AM] Roger used command ::maruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:05AM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:07AM] Roger used command ::maruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:08AM] Roger used command ::meruam | Player rights = CLERIC_DONATOR	
[4/26/23 09:08AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:08AM] Roger used command ::ref | Player rights = CLERIC_DONATOR	
[4/26/23 09:09AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:09AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:21AM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:30AM] Roger used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 09:35AM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:37AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:06AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Roger used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] Roger used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:10AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 10:11AM] Roger used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 10:16AM] Roger used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/26/23 10:35AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:36AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:36AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 12:33PM] Roger used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/26/23 12:35PM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 12:37PM] Roger used command ::voteboss | Player rights = CLERIC_DONATOR	
