[4/22/23 07:39PM] Roger used command ::Voteboss | Player rights = PLAYER	
[4/22/23 07:45PM] Roger used command ::train | Player rights = PLAYER	
[4/22/23 08:01PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:02PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:05PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:10PM] Roger used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:13PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:21PM] Roger used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:25PM] Roger used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32PM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32PM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34PM] Roger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:39PM] Roger used command ::train | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:44PM] Roger used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:46PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:01PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:06PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:07PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:08PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:13PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:20PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:22PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:25PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:26PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:27PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33PM] Roger used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Roger used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:35PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:38PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:40PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:40PM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:46PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Roger used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:57PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:59PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01PM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05PM] Roger used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:13PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:16PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:18PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:20PM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:25PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:29PM] Roger used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:30PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:42PM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:18AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:24AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33AM] Roger used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:03AM] Roger used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:08AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:14AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:19AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:29AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:44AM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::nighter | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::tagalong | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:54AM] Roger used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:57AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:05AM] Roger used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:09AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:12AM] Roger used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:21AM] Roger used command ::Home | Player rights = GRACEFUL_DONATOR	
