[4/15/23 06:12PM] Professor used command ::vote | Player rights = PLAYER	
[4/15/23 06:13PM] Professor used command ::reward | Player rights = PLAYER	
[4/15/23 06:14PM] Professor used command ::reward 1 2 | Player rights = PLAYER	
[4/15/23 06:15PM] Professor used command ::donate | Player rights = PLAYER	
[4/15/23 06:28PM] Professor used command ::veigar | Player rights = PLAYER	
[4/15/23 06:30PM] Professor used command ::ninetails | Player rights = PLAYER	
[4/15/23 06:31PM] Professor used command ::mureum | Player rights = PLAYER	
[4/15/23 06:31PM] Professor used command ::meruem | Player rights = PLAYER	
[4/15/23 06:32PM] Professor used command ::golden | Player rights = PLAYER	
[4/15/23 06:33PM] Professor used command ::golden | Player rights = PLAYER	
[4/15/23 06:34PM] Professor used command ::home | Player rights = PLAYER	
[4/15/23 06:35PM] Professor used command ::ashops | Player rights = PLAYER	
[4/15/23 06:35PM] Professor used command ::shops | Player rights = PLAYER	
[4/15/23 06:35PM] Professor used command ::shop | Player rights = PLAYER	
[4/15/23 06:36PM] Professor used command ::train | Player rights = PLAYER	
[4/15/23 06:58PM] Professor used command ::veigar | Player rights = PLAYER	
[4/15/23 07:00PM] Professor used command ::ninetails | Player rights = PLAYER	
[4/15/23 07:01PM] Professor used command ::train | Player rights = PLAYER	
[4/15/23 07:02PM] Professor used command ::ref | Player rights = PLAYER	
[4/15/23 07:05PM] Professor used command ::train | Player rights = PLAYER	
[4/15/23 07:09PM] Professor used command ::train | Player rights = PLAYER	
[4/15/23 07:19PM] Professor used command ::guide | Player rights = PLAYER	
[4/15/23 07:19PM] Professor used command ::Forum | Player rights = PLAYER	
[4/15/23 07:23PM] Professor used command ::totem | Player rights = PLAYER	
[4/15/23 07:29PM] Professor used command ::veigar | Player rights = PLAYER	
[4/16/23 09:16AM] Professor used command ::perks | Player rights = PLAYER	
[4/16/23 09:20AM] Professor used command ::vote | Player rights = PLAYER	
[4/16/23 09:21AM] Professor used command ::CLAIMVOTES | Player rights = PLAYER	
[4/16/23 09:22AM] Professor used command ::claimvote | Player rights = PLAYER	
[4/16/23 09:22AM] Professor used command ::claimvote | Player rights = PLAYER	
[4/16/23 09:23AM] Professor used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 09:23AM] Professor used command ::veigar | Player rights = PLAYER	
