[4/19/23 02:09PM] Black Ear used command ::ref | Player rights = PLAYER	
[4/19/23 02:11PM] Black Ear used command ::donate | Player rights = PLAYER	
[4/19/23 02:12PM] Black Ear used command ::deals | Player rights = PLAYER	
[4/19/23 02:13PM] Black Ear used command ::veigar | Player rights = PLAYER	
[4/19/23 02:26PM] Black Ear used command ::vote | Player rights = PLAYER	
[4/19/23 02:27PM] Black Ear used command ::claimvote | Player rights = PLAYER	
[4/19/23 02:27PM] Black Ear used command ::voted | Player rights = PLAYER	
[4/19/23 02:27PM] Black Ear used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 02:27PM] Black Ear used command ::voteboss | Player rights = PLAYER	
[4/19/23 02:31PM] Black Ear used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:31PM] Black Ear used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:39PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:42PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:47PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:54PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:58PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:10PM] Black Ear used command ::killx | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:10PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Black Ear used command ::items | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Black Ear used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Black Ear used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Black Ear used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Black Ear used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:20PM] Black Ear used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:27PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:44PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:55AM] Black Ear used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:14AM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
