[4/19/23 09:22PM] Narutoeses used command ::train | Player rights = CLERIC_DONATOR	
[4/21/23 11:48AM] Narutoeses used command ::players | Player rights = CLERIC_DONATOR	
[4/21/23 11:49AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:50AM] Narutoeses used command ::teleport | Player rights = CLERIC_DONATOR	
[4/21/23 11:52AM] Narutoeses used command ::teleport | Player rights = CLERIC_DONATOR	
[4/21/23 11:52AM] Narutoeses used command ::train | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Narutoeses used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Narutoeses used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Narutoeses used command ::bak | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Narutoeses used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:59AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:00PM] Narutoeses used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Narutoeses used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Narutoeses used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Narutoeses used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:15PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:17PM] Narutoeses used command ::auth narutoeses | Player rights = CLERIC_DONATOR	
[4/21/23 12:17PM] Narutoeses used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/21/23 12:17PM] Narutoeses used command ::zones | Player rights = CLERIC_DONATOR	
[4/21/23 12:18PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:18PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:18PM] Narutoeses used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:19PM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:20PM] Narutoeses used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 09:40AM] Narutoeses used command ::ref | Player rights = CLERIC_DONATOR	
[4/22/23 09:42AM] Narutoeses used command ::ref | Player rights = CLERIC_DONATOR	
[4/22/23 09:43AM] Narutoeses used command ::store | Player rights = CLERIC_DONATOR	
[4/22/23 09:45AM] Narutoeses used command ::train | Player rights = CLERIC_DONATOR	
[4/22/23 09:55AM] Narutoeses used command ::ach | Player rights = CLERIC_DONATOR	
[4/22/23 09:55AM] Narutoeses used command ::achievements | Player rights = CLERIC_DONATOR	
[4/22/23 09:55AM] Narutoeses used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 09:59AM] Narutoeses used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Narutoeses used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Narutoeses used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:05AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:11AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:12AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:18AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:18AM] Narutoeses used command ::train | Player rights = CLERIC_DONATOR	
[4/22/23 10:23AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:02PM] Narutoeses used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:03PM] Narutoeses used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 01:04PM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:08PM] Narutoeses used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/22/23 04:11PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:18PM] Narutoeses used command ::Dissolve | Player rights = CLERIC_DONATOR	
[4/22/23 04:18PM] Narutoeses used command ::dissolve all | Player rights = CLERIC_DONATOR	
[4/22/23 04:19PM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:30PM] Narutoeses used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:32PM] Narutoeses used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Narutoeses used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Narutoeses used command ::hideall | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Narutoeses used command ::hideplayers | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Narutoeses used command ::Mereum | Player rights = CLERIC_DONATOR	
[4/22/23 04:35PM] Narutoeses used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Narutoeses used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:39PM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:43PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:44PM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:05AM] Narutoeses used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:07AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:21AM] Narutoeses used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:25AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:27AM] Narutoeses used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:28AM] Narutoeses used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Narutoeses used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Narutoeses used command ::ninetails | Player rights = CLERIC_DONATOR	
