[4/22/23 01:32PM] Theonemark used command ::global | Player rights = PLAYER	
[4/22/23 01:32PM] Theonemark used command ::veigar | Player rights = PLAYER	
[4/22/23 01:34PM] Theonemark used command ::ninetales | Player rights = PLAYER	
[4/22/23 01:34PM] Theonemark used command ::ninetails | Player rights = PLAYER	
[4/22/23 01:39PM] Theonemark used command ::pos | Player rights = PLAYER	
[4/22/23 01:39PM] Theonemark used command ::home | Player rights = PLAYER	
[4/22/23 01:39PM] Theonemark used command ::pos | Player rights = PLAYER	
[4/22/23 01:40PM] Theonemark used command ::bank | Player rights = PLAYER	
[4/22/23 01:45PM] Theonemark used command ::bank | Player rights = PLAYER	
[4/22/23 01:51PM] Theonemark used command ::store | Player rights = PLAYER	
[4/22/23 02:03PM] Theonemark used command ::veigar | Player rights = PLAYER	
[4/22/23 02:18PM] Theonemark used command ::afk | Player rights = PLAYER	
[4/22/23 02:26PM] Theonemark used command ::bank | Player rights = PLAYER	
[4/22/23 02:32PM] Theonemark used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33PM] Theonemark used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:34PM] Theonemark used command ::meruem | Player rights = PLAYER	
[4/22/23 02:35PM] Theonemark used command ::golden | Player rights = PLAYER	
[4/22/23 02:40PM] Theonemark used command ::bank | Player rights = PLAYER	
[4/22/23 02:40PM] Theonemark used command ::bank | Player rights = PLAYER	
[4/22/23 02:51PM] Theonemark used command ::refer | Player rights = PLAYER	
[4/22/23 02:52PM] Theonemark used command ::refer | Player rights = PLAYER	
[4/22/23 03:02PM] Theonemark used command ::veigar | Player rights = PLAYER	
[4/22/23 03:13PM] Theonemark used command ::store | Player rights = PLAYER	
[4/22/23 03:32PM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Theonemark used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:37PM] Theonemark used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Theonemark used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:03PM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04PM] Theonemark used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04PM] Theonemark used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:05PM] Theonemark used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:05PM] Theonemark used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:11PM] Theonemark used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:12PM] Theonemark used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:13PM] Theonemark used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:15PM] Theonemark used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:36PM] Theonemark used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:39PM] Theonemark used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:42PM] Theonemark used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:43PM] Theonemark used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:47PM] Theonemark used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:48PM] Theonemark used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:02PM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:30PM] Theonemark used command ::Yell 1 min till 3 globals | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:30PM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:33PM] Theonemark used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:34PM] Theonemark used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02PM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:07PM] Theonemark used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:12PM] Theonemark used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Theonemark used command ::falador | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Theonemark used command ::varrock | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Theonemark used command ::hellhounds | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Theonemark used command ::hellhound | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Theonemark used command ::check clue | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:58AM] Theonemark used command ::gamble | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:31AM] Theonemark used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:32AM] Theonemark used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:32AM] Theonemark used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:33AM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Theonemark used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:33AM] Theonemark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:38AM] Theonemark used command ::afk | Player rights = GRACEFUL_DONATOR	
