[4/22/23 08:12AM] Vexia used command ::peach | Player rights = PLAYER	
[4/22/23 08:16AM] Vexia used command ::empty | Player rights = DEVELOPER	
[4/22/23 08:16AM] Vexia used command ::master | Player rights = DEVELOPER	
[4/22/23 08:17AM] Vexia used command ::find owner's | Player rights = DEVELOPER	
[4/22/23 08:17AM] Vexia used command ::item 22239 | Player rights = DEVELOPER	
[4/22/23 08:17AM] Vexia used command ::item 22238 | Player rights = DEVELOPER	
[4/22/23 08:17AM] Vexia used command ::item 22237 | Player rights = DEVELOPER	
[4/22/23 08:17AM] Vexia used command ::item 22236 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 22235 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 22234 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 22233 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 22232 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 22231 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 6640 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 8832 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 14882 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 15834 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 2736 500 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 15003 50 | Player rights = DEVELOPER	
[4/22/23 08:18AM] Vexia used command ::item 15004 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 15002 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 20489 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 20491 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 20490 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 10025 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 10027 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::bank | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::item 10029 50 | Player rights = DEVELOPER	
[4/22/23 08:19AM] Vexia used command ::bank | Player rights = DEVELOPER	
[4/22/23 08:35AM] Vexia used command ::bank | Player rights = DEVELOPER	
[4/25/23 12:23PM] Vexia used command ::players | Player rights = YOUTUBER	
[4/25/23 12:24PM] Vexia used command ::players | Player rights = YOUTUBER	
[4/25/23 12:25PM] Vexia used command ::players | Player rights = YOUTUBER	
[4/25/23 12:26PM] Vexia used command ::players | Player rights = YOUTUBER	
[4/25/23 12:53PM] Vexia used command ::yell trying this server out for a yt video later tonight! | Player rights = YOUTUBER	
[4/25/23 12:53PM] Vexia used command ::yell @ vexia rsps on youtube if u are not subscribed! | Player rights = YOUTUBER	
[4/25/23 02:14PM] Vexia used command ::yell if anyones has the tarn rsps logo send me on discord | Player rights = YOUTUBER	
[4/25/23 02:52PM] Vexia used command ::yell 2x progressive boxes to 1st commenters | Player rights = YOUTUBER	
[4/25/23 02:53PM] Vexia used command ::yell on my new video boys @ vexia rsps | Player rights = YOUTUBER	
[4/25/23 02:53PM] Vexia used command ::yell snipe it | Player rights = YOUTUBER	
[4/25/23 02:53PM] Vexia used command ::yell i'm uploading the tarn rsps vid in 30 seconds | Player rights = YOUTUBER	
[4/25/23 02:53PM] Vexia used command ::yell tier 2 boxes. | Player rights = YOUTUBER	
