[4/19/23 08:24PM] Tomzi used command ::refer | Player rights = PLAYER	
[4/19/23 08:35PM] Tomzi used command ::donate | Player rights = PLAYER	
[4/19/23 08:44PM] Tomzi used command ::veigar | Player rights = PLAYER	
[4/19/23 08:52PM] Tomzi used command ::upgrade | Player rights = PLAYER	
[4/19/23 08:52PM] Tomzi used command ::upgrade | Player rights = PLAYER	
[4/19/23 09:19PM] Tomzi used command ::veigar | Player rights = PLAYER	
[4/19/23 09:21PM] Tomzi used command ::ninetails | Player rights = PLAYER	
[4/19/23 10:21PM] Tomzi used command ::ninetails | Player rights = PLAYER	
[4/19/23 10:36PM] Tomzi used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:39PM] Tomzi used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:42PM] Tomzi used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:42PM] Tomzi used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:42PM] Tomzi used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:42PM] Tomzi used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:49PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:51PM] Tomzi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:04PM] Tomzi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:04PM] Tomzi used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:05PM] Tomzi used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:18PM] Tomzi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:18PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:20PM] Tomzi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:40PM] Tomzi used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Tomzi used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Tomzi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:20PM] Tomzi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
