[4/20/23 11:35PM] Killer Froob used command ::golden | Player rights = PLAYER	
[4/20/23 11:53PM] Killer Froob used command ::voted | Player rights = PLAYER	
[4/20/23 11:53PM] Killer Froob used command ::reward1 all | Player rights = PLAYER	
[4/20/23 11:54PM] Killer Froob used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 12:02AM] Killer Froob used command ::veigar | Player rights = PLAYER	
[4/21/23 01:11PM] Killer Froob used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 01:13PM] Killer Froob used command ::vboss | Player rights = PLAYER	
[4/21/23 01:13PM] Killer Froob used command ::vboss | Player rights = PLAYER	
[4/21/23 01:28PM] Killer Froob used command ::store | Player rights = PLAYER	
[4/21/23 06:26PM] Killer Froob used command ::bank | Player rights = PLAYER	
[4/22/23 01:45AM] Killer Froob used command ::vboss | Player rights = PLAYER	
[4/22/23 01:31PM] Killer Froob used command ::vboss | Player rights = PLAYER	
[4/22/23 03:21PM] Killer Froob used command ::vote | Player rights = PLAYER	
[4/22/23 04:37PM] Killer Froob used command ::vboss | Player rights = PLAYER	
[4/22/23 04:37PM] Killer Froob used command ::vboss | Player rights = PLAYER	
