[4/22/23 07:36AM] New Wind used command ::totem | Player rights = PLAYER	
[4/22/23 07:36AM] New Wind used command ::starter | Player rights = PLAYER	
[4/22/23 07:37AM] New Wind used command ::vboss | Player rights = PLAYER	
[4/22/23 07:37AM] New Wind used command ::starter | Player rights = PLAYER	
[4/22/23 07:44AM] New Wind used command ::bank | Player rights = PLAYER	
[4/22/23 07:44AM] New Wind used command ::bank | Player rights = PLAYER	
[4/22/23 07:49AM] New Wind used command ::starter | Player rights = PLAYER	
[4/22/23 08:02AM] New Wind used command ::veigar | Player rights = PLAYER	
[4/22/23 08:15AM] New Wind used command ::store | Player rights = PLAYER	
[4/22/23 08:15AM] New Wind used command ::shops | Player rights = PLAYER	
[4/22/23 08:15AM] New Wind used command ::shop | Player rights = PLAYER	
[4/22/23 08:15AM] New Wind used command ::shops | Player rights = PLAYER	
[4/22/23 08:26AM] New Wind used command ::totem | Player rights = PLAYER	
[4/22/23 08:28AM] New Wind used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:30AM] New Wind used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] New Wind used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] New Wind used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] New Wind used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] New Wind used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:35AM] New Wind used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37AM] New Wind used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:37AM] New Wind used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03AM] New Wind used command ::veigaer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03AM] New Wind used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:19AM] New Wind used command ::ddr | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:19AM] New Wind used command ::ddr | Player rights = GRACEFUL_DONATOR	
