[4/15/23 02:36PM] Dead used command ::Vote | Player rights = PLAYER	
[4/15/23 02:37PM] Dead used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 02:39PM] Dead used command ::ref | Player rights = PLAYER	
[4/15/23 02:41PM] Dead used command ::train | Player rights = PLAYER	
[4/15/23 02:48PM] Dead used command ::train | Player rights = PLAYER	
[4/15/23 02:57PM] Dead used command ::Train | Player rights = PLAYER	
[4/15/23 02:58PM] Dead used command ::freedonator | Player rights = PLAYER	
[4/15/23 02:58PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 03:01PM] Dead used command ::train | Player rights = PLAYER	
[4/15/23 03:05PM] Dead used command ::train | Player rights = PLAYER	
[4/15/23 03:19PM] Dead used command ::shops | Player rights = PLAYER	
[4/15/23 03:29PM] Dead used command ::ape | Player rights = PLAYER	
[4/15/23 03:29PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 03:31PM] Dead used command ::ninetails | Player rights = PLAYER	
[4/15/23 03:33PM] Dead used command ::goldengreatape | Player rights = PLAYER	
[4/15/23 03:33PM] Dead used command ::golden | Player rights = PLAYER	
[4/15/23 04:29PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 04:31PM] Dead used command ::ninetails | Player rights = PLAYER	
[4/15/23 04:33PM] Dead used command ::golden | Player rights = PLAYER	
[4/15/23 04:59PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 05:29PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 05:30PM] Dead used command ::ninetails | Player rights = PLAYER	
[4/15/23 05:45PM] Dead used command ::pos | Player rights = PLAYER	
[4/15/23 05:59PM] Dead used command ::veigar | Player rights = PLAYER	
[4/15/23 06:29PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:23PM] Dead used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:24PM] Dead used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:25PM] Dead used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Dead used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:37PM] Dead used command ::yell selling votes 40k ea | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:56PM] Dead used command ::yell selling $10 600k | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:03PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:04PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
