[4/22/23 09:27AM] Elviszo used command ::refer | Player rights = PLAYER	
[4/22/23 09:27AM] Elviszo used command ::refer | Player rights = PLAYER	
[4/22/23 09:29AM] Elviszo used command ::refer | Player rights = PLAYER	
[4/22/23 09:29AM] Elviszo used command ::refer | Player rights = PLAYER	
[4/22/23 09:31AM] Elviszo used command ::refer | Player rights = PLAYER	
[4/22/23 09:32AM] Elviszo used command ::ref | Player rights = PLAYER	
[4/22/23 09:40AM] Elviszo used command ::bank | Player rights = PLAYER	
[4/22/23 02:07PM] Elviszo used command ::bank | Player rights = PLAYER	
[4/22/23 02:08PM] Elviszo used command ::starter | Player rights = PLAYER	
[4/22/23 02:13PM] Elviszo used command ::starter | Player rights = PLAYER	
[4/22/23 02:13PM] Elviszo used command ::home | Player rights = PLAYER	
[4/22/23 02:14PM] Elviszo used command ::proggresion | Player rights = PLAYER	
[4/22/23 03:47PM] Elviszo used command ::home | Player rights = PLAYER	
[4/22/23 04:04PM] Elviszo used command ::altar | Player rights = PLAYER	
[4/22/23 04:04PM] Elviszo used command ::altar | Player rights = PLAYER	
[4/22/23 04:04PM] Elviszo used command ::home | Player rights = PLAYER	
[4/23/23 12:48AM] Elviszo used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Elviszo used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Elviszo used command ::vptebpss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Elviszo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Elviszo used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:51AM] Elviszo used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:52AM] Elviszo used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:52AM] Elviszo used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:52AM] Elviszo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:52AM] Elviszo used command ::market | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:54AM] Elviszo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:56AM] Elviszo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02AM] Elviszo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:13AM] Elviszo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:34AM] Elviszo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:37AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:40AM] Elviszo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:41AM] Elviszo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:54AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:54AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:54AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:54AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:59AM] Elviszo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Elviszo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Elviszo used command ::minetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:08AM] Elviszo used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:08AM] Elviszo used command ::checkdr | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:20AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:20AM] Elviszo used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:30AM] Elviszo used command ::pray | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:30AM] Elviszo used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:30AM] Elviszo used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:30AM] Elviszo used command ::npckills | Player rights = GRACEFUL_DONATOR	
