[4/15/23 08:25AM] Clav used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 08:29AM] Clav used command ::veigar | Player rights = PLAYER	
[4/15/23 08:32AM] Clav used command ::bank | Player rights = PLAYER	
[4/15/23 08:33AM] Clav used command ::donate | Player rights = PLAYER	
[4/15/23 08:37AM] Clav used command ::bank | Player rights = PLAYER	
[4/15/23 08:59AM] Clav used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Clav used command ::bank | Player rights = PLAYER	
[4/15/23 09:04AM] Clav used command ::zinq | Player rights = PLAYER	
[4/15/23 09:04AM] Clav used command ::zinqruxs | Player rights = PLAYER	
[4/16/23 09:20AM] Clav used command ::Deals | Player rights = PLAYER	
[4/16/23 09:21AM] Clav used command ::afk | Player rights = PLAYER	
[4/16/23 09:23AM] Clav used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:24AM] Clav used command ::veigar | Player rights = PLAYER	
[4/16/23 09:24AM] Clav used command ::meruem | Player rights = PLAYER	
[4/16/23 09:48AM] Clav used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:49AM] Clav used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:49AM] Clav used command ::meruem | Player rights = PLAYER	
[4/16/23 10:28AM] Clav used command ::vote | Player rights = PLAYER	
[4/16/23 10:29AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:30AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:31AM] Clav used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 10:31AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:33AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:38AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:41AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:44AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:45AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:45AM] Clav used command ::donate | Player rights = PLAYER	
[4/16/23 10:46AM] Clav used command ::claim | Player rights = PLAYER	
[4/16/23 10:49AM] Clav used command ::dr | Player rights = PLAYER	
[4/16/23 10:51AM] Clav used command ::Dr | Player rights = PLAYER	
[4/16/23 10:53AM] Clav used command ::veigar | Player rights = PLAYER	
[4/16/23 11:23AM] Clav used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Clav used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] Clav used command ::yell selling agumon body | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:31AM] Clav used command ::voteboss | Player rights = GRACEFUL_DONATOR	
