[4/20/23 07:34PM] Login. ip: 24.158.251.94, mac: Default string20210411160405.000000-300, uuid: E0-D5-5E-A0-B0-3F	
[4/20/23 07:34PM] (CC) Help. Said: Why no veteran iron	
[4/20/23 07:35PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/20/23 07:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:36PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:36PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:36PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:37PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:37PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:37PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:37PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:37PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 07:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:39PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 07:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:39PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 07:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:39PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 07:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 07:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:40PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 07:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 07:40PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 07:40PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:41AM] Login. ip: 24.158.251.94, mac: Default string20210411160405.000000-300, uuid: E0-D5-5E-A0-B0-3F	
[4/21/23 10:41AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:41AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:42AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:43AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:43AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:43AM] (CC) Help. Said: Whats the blue glow on items mean	
[4/21/23 10:43AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:43AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:43AM] (CC) Help. Said: Holy 18% dr	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 200	
[4/21/23 10:44AM] (CC) Help. Said: /collector loc?	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:44AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:45AM] (CC) Help. Said: What does it mean if the loot pile has a circle going up and down it	
[4/21/23 10:45AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:46AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Player dropping item: Starter Gloves, amount: 1	
[4/21/23 10:47AM] Player dropping item: Starter Cape, amount: 1	
[4/21/23 10:47AM] Player dropping item: Starter Body, amount: 1	
[4/21/23 10:47AM] Player dropping item: Starter Helm, amount: 1	
[4/21/23 10:47AM] Player dropping item: Starter Legs, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:47AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:48AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:48AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:49AM] Player dropping item: Starter Cannon, amount: 1	
[4/21/23 10:49AM] Picked up gr.Item Starter Cannon, amount: 1	
[4/21/23 10:49AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:49AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:49AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:49AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:50AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:50AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:50AM] Picked up gr.Item Blurite Box, amount: 1	
[4/21/23 10:50AM] Picked up gr.Item Coin, amount: 300	
[4/21/23 10:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:50AM] Player dropping item: Starter Staff, amount: 1	
[4/21/23 10:50AM] Player dropping item: Starter Amulet, amount: 1	
[4/21/23 10:50AM] Player dropping item: Starter Ring, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:51AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:52AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:52AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:52AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:53AM] Picked up gr.Item Coin, amount: 800	
[4/21/23 10:53AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:53AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:54AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:54AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:54AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:54AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:57AM] Picked up gr.Item Blurite Body, amount: 1	
[4/21/23 10:57AM] Picked up gr.Item Coin, amount: 1200	
[4/21/23 10:57AM] Picked up gr.Item Lava bones, amount: 5	
[4/21/23 10:57AM] Picked up gr.Item Coin, amount: 1600	
[4/21/23 10:57AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 10:57AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:57AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 10:58AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 10:58AM] Picked up gr.Item Coin, amount: 1200	
[4/21/23 10:58AM] Picked up gr.Item Lava bones, amount: 3	
[4/21/23 10:58AM] Picked up gr.Item Coin, amount: 400	
[4/21/23 10:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:01AM] PROGRESSION_ZONES|3042,10278,16|Said:         hu	
[4/21/23 11:01AM] PROGRESSION_ZONES|3041,10278,16|Said: Hi	
[4/21/23 11:01AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 11:01AM] Picked up gr.Item Coin, amount: 1000	
[4/21/23 11:01AM] Picked up gr.Item Coin, amount: 1000	
[4/21/23 11:01AM] Picked up gr.Item Lava bones, amount: 4	
[4/21/23 11:01AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 1000	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:02AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Coin, amount: 500	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/21/23 11:03AM] Picked up gr.Item Lava bones, amount: 2	
