[4/20/23 05:02PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/20/23 05:15PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/21/23 11:28PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/21/23 11:31PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/21/23 11:34PM] Picked up gr.Item Coin, amount: 1655128	
[4/21/23 11:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 11:35PM] Picked up gr.Item Coin, amount: 3938651	
[4/21/23 11:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 04:06PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/22/23 04:18PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 07:33PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/22/23 07:35PM] Picked up gr.Item Coin, amount: 3580549	
[4/22/23 07:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 07:40PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:40PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 07:44PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:44PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 07:45PM] Gave item in trade to Ainokea. Id: 10946, amount: 10	
[4/22/23 07:45PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 07:45PM] Gave item in trade to Ainokea. Id: 995, amount: 10174328	
[4/22/23 08:33PM] Picked up gr.Item Coin, amount: 1838997	
[4/22/23 08:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 08:34PM] Picked up gr.Item Coin, amount: 3811735	
[4/22/23 08:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 08:35PM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 08:35PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 09:34PM] Picked up gr.Item Coin, amount: 1902857	
[4/22/23 09:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 09:35PM] Picked up gr.Item Coin, amount: 4139189	
[4/22/23 09:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 09:36PM] Gave item in trade to Ainokea. Id: 995, amount: 11692778	
[4/22/23 09:36PM] Gave item in trade to Ainokea. Id: 10946, amount: 2	
[4/22/23 09:51PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 09:51PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 09:56PM] Gave item in trade to Ainokea. Id: 10946, amount: 5	
[4/22/23 09:56PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 10:33PM] Picked up gr.Item Coin, amount: 2402178	
[4/22/23 10:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 10:34PM] Picked up gr.Item Coin, amount: 3134213	
[4/22/23 10:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 10:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 10:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 11:08PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:08PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:10PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:10PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:11PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 11:11PM] Gave item in trade to Ainokea. Id: 10946, amount: 11	
[4/22/23 11:33PM] Picked up gr.Item Coin, amount: 1881034	
[4/22/23 11:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 11:34PM] Picked up gr.Item Coin, amount: 3987277	
[4/22/23 11:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 11:35PM] Picked up gr.Item Lava bones, amount: 100	
