[4/22/23 02:05PM] Login. ip: 70.71.124.229, mac: Default string20210313181957.000000-480, uuid: 4C-CC-6A-D0-7F-AE	
[4/22/23 02:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:07PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:07PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:07PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:08PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:08PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:08PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:09PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:09PM] Picked up gr.Item Coin, amount: 100	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:09PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:13PM] DEFAULT|2222,3741,0|Said: How to teleport	
[4/22/23 02:14PM] DEFAULT|2222,3741,0|Said: Ty	
[4/22/23 02:15PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 02:15PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 02:15PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 02:15PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 02:15PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 02:16PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/22/23 02:16PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:17PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:17PM] Picked up gr.Item Coin, amount: 600	
[4/22/23 02:17PM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 02:17PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 02:17PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:18PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 02:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 02:18PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 02:18PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 02:18PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 02:18PM] Picked up gr.Item Coin, amount: 200	
[4/22/23 02:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 02:19PM] Picked up gr.Item Lava bones, amount: 3	
[4/22/23 02:19PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/22/23 02:20PM] Picked up gr.Item Coin, amount: 600	
[4/22/23 02:20PM] Picked up gr.Item Lava bones, amount: 3	
