[4/17/23 12:57AM] Login. ip: 24.147.0.90, mac: L9PDKW00065440A20230221220256.000000-300, uuid: AC-12-03-A5-1C-2A	
[4/17/23 12:58AM] Login. ip: 24.147.0.90, mac: L9PDKW00065440A20230221220256.000000-300, uuid: AC-12-03-A5-1C-2A	
[4/17/23 12:59AM] Login. ip: 24.147.0.90, mac: L9PDKW00065440A20230221220256.000000-300, uuid: AC-12-03-A5-1C-2A	
[4/17/23 01:00AM] Login. ip: 24.147.0.90, mac: L9PDKW00065440A20230221220256.000000-300, uuid: AC-12-03-A5-1C-2A	
[4/17/23 01:00AM] Login. ip: 24.147.0.90, mac: L9PDKW00065440A20230221220256.000000-300, uuid: AC-12-03-A5-1C-2A	
[4/17/23 01:01AM] PROGRESSION_ZONES|3037,10280,0|Said: Yoo 	
[4/17/23 01:01AM] (CC) Help. Said: Yooo 	
[4/17/23 01:02AM] (CC) Help. Said: Hey ruthie :) 	
[4/17/23 01:02AM] (CC) Help. Said: K doin it now	
[4/17/23 01:04AM] VBOSS|2980,2771,0|Said: There we go :) 	
[4/17/23 01:11AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/17/23 01:11AM] Picked up gr.Item Vote scroll, amount: 3	
[4/17/23 01:14AM] Has just redeemed a $1 Scroll successfully!	
[4/17/23 01:17AM] Picked up gr.Item Coin, amount: 2082818	
[4/17/23 01:17AM] Picked up gr.Item Lava bones, amount: 25	
[4/17/23 01:20AM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/17/23 01:20AM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/17/23 01:23AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:23AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:24AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:24AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:24AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:24AM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 01:24AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:25AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:25AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:25AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:25AM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 01:26AM] Picked up gr.Item Coin, amount: 100	
[4/17/23 01:26AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:26AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:28AM] Picked up gr.Item Coin, amount: 200	
[4/17/23 01:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:29AM] Picked up gr.Item Coin, amount: 200	
[4/17/23 01:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:29AM] Picked up gr.Item Coin, amount: 200	
