[4/20/23 11:07AM] Player received drop: x1 Antique Gloves, id: 8819, amount: 1, from: Avalon	
[4/21/23 08:05AM] Player received drop: x1 Emerald Body, id: 11002, amount: 1, from: Emerald Slayer	
[4/21/23 11:15AM] Player received drop: x1 Rogue Helm, id: 22126, amount: 1, from: Sasuke	
[4/21/23 02:12PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/21/23 02:40PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/22/23 08:30AM] Player received drop: x1 Obsidian Helm, id: 23061, amount: 1, from: Asmodeus	
[4/22/23 08:44AM] Player received drop: x1 Onyx Legs, id: 20095, amount: 1, from: Onyx Griffin	
[4/22/23 08:54AM] Player received drop: x1 Demonlord Boots, id: 14180, amount: 1, from: Ag'Thomoth	
[4/22/23 09:02AM] Player received drop: x1 Lili Aura, id: 22142, amount: 1, from: Lilinryss	
[4/22/23 09:08AM] Player received drop: x1 Groudon Boots, id: 3107, amount: 1, from: Groudon	
[4/22/23 09:08AM] Player received drop: x1 Groudon Shield, id: 13964, amount: 1, from: Groudon	
[4/22/23 09:08AM] Player received drop: x1 Groudon Legs, id: 19913, amount: 1, from: Groudon	
[4/22/23 09:29AM] Player received drop: x1 Black platebody (h4), id: 19490, amount: 1, from: Groudon	
[4/22/23 09:35AM] Player received drop: x1 Groudon Legs, id: 19913, amount: 1, from: Groudon	
[4/22/23 09:46AM] Player received drop: x1 Black platebody (h4), id: 19490, amount: 1, from: Groudon	
[4/22/23 12:24PM] Player received drop: x1 Adamant platebody (h4), id: 19491, amount: 1, from: Varthramoth	
[4/22/23 12:32PM] Player received drop: x1 Tyrant Aura, id: 12608, amount: 1, from: Tyrant Lord	
[4/22/23 01:00PM] Player received drop: x1 Virtuos Boots, id: 14303, amount: 1, from: Virtuoso	
[4/22/23 01:14PM] Player received drop: x1 Rune platebody (h5), id: 19495, amount: 1, from: Agumon	
[4/22/23 01:55PM] Player received drop: x1 White Legs, id: 22164, amount: 1, from: White Beard	
[4/26/23 11:42AM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/26/23 11:50AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 11:53AM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/26/23 11:53AM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 11:55AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 11:57AM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 11:58AM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 11:59AM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:01PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 12:03PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:04PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:09PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/26/23 12:09PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:14PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:16PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:18PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/26/23 12:19PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:26PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:28PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/26/23 12:30PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:30PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:30PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:33PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:34PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:35PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:40PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:41PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:42PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 12:43PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/26/23 12:47PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 12:47PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:51PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 12:53PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 12:57PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/26/23 06:12PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 06:14PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/26/23 06:15PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
