[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Bow. Id: 22155, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Body. Id: 22153, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Legs. Id: 22154, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Boots. Id: 22158, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Agumon Aura. Id: 22160, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Inferno Shield. Id: 13306, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Inferno tokhaar-kal. Id: 18683, amount: 1	
[4/20/23 10:41AM] Gave item to Norman. Name: Lava bones. Id: 2023, amount: 5324	
[4/20/23 10:41AM] Gave item to Norman. Name: Vote scroll. Id: 23020, amount: 22	
[4/20/23 10:41AM] Gave item to Norman. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/20/23 10:42AM] Gave item to Norman. Name: Collectors Aura I. Id: 15450, amount: 1	
[4/20/23 10:42AM] Received item from Norman. Name: Agumon Body. Id: 22153, amount: 1	
[4/20/23 10:42AM] Received item from Norman. Name: Agumon Bow. Id: 22155, amount: 1	
[4/20/23 10:42AM] Received item from Norman. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/20/23 10:42AM] Received item from Norman. Name: Agumon Legs. Id: 22154, amount: 1	
[4/20/23 10:42AM] Received item from Norman. Name: Agumon Aura. Id: 22160, amount: 1	
[4/20/23 11:17AM] Gave item to Norman. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/20/23 11:17AM] Gave item to Norman. Name: Tarn token. Id: 10835, amount: 38056	
[4/20/23 11:17AM] Gave item to Norman. Name: Slayer ticket. Id: 5023, amount: 1439	
[4/20/23 01:11PM] Gave item to Norman. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/20/23 01:12PM] Gave item to Norman. Name: Blood Enhancement. Id: 1857, amount: 1	
[4/20/23 01:13PM] Received item from Norman. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/20/23 01:13PM] Received item from Norman. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 01:13PM] Received item from Norman. Name: Agumon Boots. Id: 22158, amount: 1	
[4/20/23 01:13PM] Received item from Norman. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/20/23 01:13PM] Received item from Norman. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/20/23 01:14PM] Received item from Norman. Name: Collectors Aura I. Id: 15450, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Bow. Id: 22155, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Collectors Aura I. Id: 15450, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Sovereignty prayer scroll. Id: 23169, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Boots. Id: 22158, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Trinity prayer scroll. Id: 23166, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Legs. Id: 22154, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Body. Id: 22153, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Collector Attachment. Id: 9084, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Agumon Aura. Id: 22160, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Green stone. Id: 15251, amount: 1	
[4/20/23 01:48PM] Gave item to Norman. Name: Tarn token. Id: 10835, amount: 9592	
[4/20/23 01:48PM] Gave item to Norman. Name: $1 Scroll. Id: 10946, amount: 4	
[4/20/23 02:17PM] Gave item to Norman. Name: Infinite prayer potion (T3). Id: 23123, amount: 1	
[4/21/23 07:32PM] Gave item to Norman. Name: Prosperous prayer scroll. Id: 23170, amount: 1	
[4/22/23 02:56PM] Received item from Norman. Name: Collectors Aura I. Id: 15450, amount: 1	
[4/22/23 02:56PM] Received item from Norman. Name: Collector necklace II. Id: 19888, amount: 1	
[4/22/23 02:56PM] Received item from Norman. Name: Nite Wings. Id: 17606, amount: 1	
