[4/18/23 12:31PM] Gave item to Zshana. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 12:31PM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 700000	
[4/18/23 12:37PM] Gave item to Rhiannon. Name: Vote scroll. Id: 23020, amount: 5	
[4/18/23 12:37PM] Gave item to Rhiannon. Name: Tarn token. Id: 10835, amount: 375000	
[4/18/23 12:37PM] Received item from Rhiannon. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/18/23 12:37PM] Received item from Rhiannon. Name: Champion Gloves. Id: 12994, amount: 1	
[4/18/23 12:37PM] Received item from Rhiannon. Name: Lucifer legs. Id: 22102, amount: 1	
[4/18/23 12:50PM] Received item from Onlyfans. Name: White Wings. Id: 22166, amount: 1	
[4/18/23 01:40PM] Gave item to Rhiannon. Name: $1 Scroll. Id: 10946, amount: 6	
[4/18/23 01:40PM] Gave item to Rhiannon. Name: Vote scroll. Id: 23020, amount: 3	
[4/18/23 01:40PM] Received item from Rhiannon. Name: Tarn token. Id: 10835, amount: 550000	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Agumon Boots. Id: 22158, amount: 1	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Agumon Body. Id: 22153, amount: 1	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Agumon Aura. Id: 22160, amount: 1	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/19/23 07:58AM] Gave item to Im Afk. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/19/23 08:12AM] Received item from Im Afk. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/19/23 08:54AM] Received item from Im Afk. Name: Agumon Boots. Id: 22158, amount: 1	
[4/19/23 08:54AM] Received item from Im Afk. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/19/23 08:54AM] Received item from Im Afk. Name: Agumon Body. Id: 22153, amount: 1	
[4/19/23 08:54AM] Received item from Im Afk. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 08:54AM] Received item from Im Afk. Name: Agumon Aura. Id: 22160, amount: 1	
[4/20/23 02:28AM] Gave item to Neff. Name: Tarn token. Id: 10835, amount: 500000	
[4/20/23 02:28AM] Gave item to Neff. Name: Lucifer legs. Id: 22102, amount: 1	
