[4/19/23 06:39AM] Received item from Nobledefeat. Name: Lust Legging. Id: 8808, amount: 1	
[4/19/23 06:39AM] Received item from Nobledefeat. Name: Solar Staff. Id: 22135, amount: 1	
[4/19/23 06:39AM] Received item from Nobledefeat. Name: Lust Poncho. Id: 8807, amount: 1	
[4/19/23 06:39AM] Received item from Nobledefeat. Name: Lust Visor. Id: 8806, amount: 1	
[4/19/23 08:06AM] Gave item to Zaryte. Name: $10 Bond. Id: 23057, amount: 1	
[4/19/23 08:06AM] Received item from Zaryte. Name: Tarn token. Id: 10835, amount: 400000	
[4/19/23 08:52AM] Received item from Alex. Name: Executive Set. Id: 11946, amount: 1	
[4/19/23 08:52AM] Received item from Alex. Name: $25 Bond. Id: 23058, amount: 1	
[4/19/23 10:52AM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 650000	
[4/19/23 10:52AM] Received item from Nobledefeat. Name: Agumon Boots. Id: 22158, amount: 1	
[4/21/23 04:41AM] Gave item to Nobledefeat. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 04:41AM] Gave item to Nobledefeat. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 04:41AM] Received item from Nobledefeat. Name: Tarn token. Id: 10835, amount: 2000000	
[4/21/23 06:15AM] Gave item to Roe. Name: Solar Hood. Id: 15645, amount: 1	
[4/21/23 06:15AM] Gave item to Roe. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/21/23 06:15AM] Gave item to Roe. Name: Gold Glaive. Id: 7014, amount: 1	
[4/21/23 06:15AM] Gave item to Roe. Name: Emerald Body. Id: 11002, amount: 1	
[4/21/23 06:15AM] Received item from Roe. Name: Tarn token. Id: 10835, amount: 83340	
[4/21/23 06:15AM] Received item from Roe. Name: Coin. Id: 995, amount: 5142515	
[4/21/23 10:37AM] Gave item to Bookie. Name: Tarn token. Id: 10835, amount: 1250000	
[4/21/23 10:37AM] Received item from Bookie. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 10:38AM] Gave item to Elven. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 10:38AM] Received item from Elven. Name: $1 Scroll. Id: 10946, amount: 3	
[4/21/23 11:37AM] Gave item to Kinda Savage. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 11:37AM] Received item from Kinda Savage. Name: Tarn token. Id: 10835, amount: 1237054	
[4/21/23 11:37AM] Received item from Kinda Savage. Name: $1 Scroll. Id: 10946, amount: 7	
[4/21/23 11:41AM] Gave item to Entropy. Name: Tarn token. Id: 10835, amount: 11220968	
[4/21/23 11:41AM] Gave item to Entropy. Name: $10 Bond. Id: 23057, amount: 3	
[4/21/23 11:41AM] Gave item to Entropy. Name: $25 Bond. Id: 23058, amount: 1	
[4/21/23 11:41AM] Gave item to Entropy. Name: $1 Scroll. Id: 10946, amount: 91	
[4/21/23 11:41AM] Received item from Entropy. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 11:58PM] Gave item to Oblivion. Name: Tarn token. Id: 10835, amount: 75000	
[4/21/23 11:58PM] Received item from Oblivion. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/22/23 02:50AM] Gave item to Akuna. Name: Tarn token. Id: 10835, amount: 1000000	
[4/22/23 02:50AM] Received item from Akuna. Name: Infinite prayer potion (T3). Id: 23123, amount: 1	
[4/22/23 03:50AM] Gave item to Rak. Name: Demon Bow. Id: 22134, amount: 1	
[4/22/23 03:50AM] Received item from Rak. Name: Varth Bow. Id: 22148, amount: 1	
[4/22/23 03:50AM] Received item from Rak. Name: Tarn token. Id: 10835, amount: 800259	
[4/22/23 03:50AM] Received item from Rak. Name: $10 Bond. Id: 23057, amount: 2	
[4/22/23 03:50AM] Received item from Rak. Name: $1 Scroll. Id: 10946, amount: 16	
[4/22/23 05:40AM] Gave item to Gor3whor3. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/22/23 05:40AM] Gave item to Gor3whor3. Name: Lili Helm. Id: 22136, amount: 1	
[4/22/23 05:40AM] Received item from Gor3whor3. Name: $1 Scroll. Id: 10946, amount: 3	
[4/22/23 06:02AM] Gave item to Boms. Name: Tarn token. Id: 10835, amount: 3500000	
[4/22/23 06:02AM] Received item from Boms. Name: Dragon spear (p+). Id: 13774, amount: 1	
[4/22/23 07:43AM] Gave item to Gor3whor3. Name: Tarn token. Id: 10835, amount: 70000	
[4/22/23 07:43AM] Received item from Gor3whor3. Name: $1 Scroll. Id: 10946, amount: 2	
[4/23/23 12:21PM] Gave item to 2147m. Name: Tarn token. Id: 10835, amount: 3000000	
[4/23/23 12:21PM] Received item from 2147m. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/23/23 12:21PM] Received item from 2147m. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/24/23 06:37AM] Gave item to Iagurkas. Name: AFK ticket. Id: 5020, amount: 110013	
[4/24/23 09:55AM] Gave item to Krafty. Name: $25 Bond. Id: 23058, amount: 2	
[4/24/23 09:55AM] Gave item to Krafty. Name: $1 Scroll. Id: 10946, amount: 1	
