[4/23/23 08:15AM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 2	
[4/23/23 08:15AM] Gave item to Demon. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic helm. Id: 23021, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Collector necklace. Id: 19886, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Imperial Staff. Id: 18629, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic legs. Id: 23023, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic body. Id: 23022, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Godly Gloves. Id: 14055, amount: 1	
[4/23/23 09:17AM] Gave item to Demon. Name: Imperial Staff. Id: 18629, amount: 1	
[4/23/23 09:17AM] Received item from Demon. Name: Nagi Legs. Id: 21064, amount: 1	
[4/23/23 09:40AM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 12	
[4/23/23 09:40AM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 6	
[4/23/23 10:53AM] Received item from Demon. Name: Antique Body. Id: 8817, amount: 1	
[4/23/23 10:53AM] Received item from Demon. Name: Zinq body. Id: 23051, amount: 1	
[4/23/23 10:53AM] Received item from Demon. Name: Godly Legs. Id: 14052, amount: 1	
[4/26/23 07:11AM] Received item from Demon. Name: Vote scroll. Id: 23020, amount: 52	
[4/26/23 07:12AM] Gave item to Demon. Name: Coin. Id: 995, amount: 384847886	
[4/26/23 07:12AM] Gave item to Demon. Name: Tarn token. Id: 10835, amount: 91221	
[4/26/23 07:12AM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 78	
[4/26/23 07:12AM] Gave item to Demon. Name: Lava bones. Id: 2023, amount: 8960	
[4/26/23 07:12AM] Received item from Demon. Name: Vote scroll. Id: 23020, amount: 15	
[4/26/23 07:37AM] Gave item to Demon. Name: Cursed Box. Id: 15003, amount: 1	
[4/26/23 07:37AM] Gave item to Demon. Name: Gracious Box. Id: 15002, amount: 1	
[4/26/23 07:37AM] Gave item to Demon. Name: $25 Bond. Id: 23058, amount: 3	
[4/26/23 07:37AM] Gave item to Demon. Name: $10 Bond. Id: 23057, amount: 1	
[4/26/23 08:25AM] Received item from Demon. Name: Maze Legs. Id: 5428, amount: 1	
[4/26/23 08:25AM] Received item from Demon. Name: Godly Body. Id: 14051, amount: 1	
[4/26/23 08:25AM] Received item from Demon. Name: Nightmare boots. Id: 23032, amount: 1	
[4/26/23 08:25AM] Received item from Demon. Name: Zircon (Warrior). Id: 23094, amount: 1	
[4/26/23 08:25AM] Received item from Demon. Name: Maze Maul. Id: 17710, amount: 1	
[4/26/23 08:25AM] Gave item to Demon. Name: Imperial Staff. Id: 18629, amount: 1	
