[4/23/23 08:15AM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 2	
[4/23/23 08:15AM] Gave item to Demon. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/23/23 08:15AM] Gave item to Demon. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic helm. Id: 23021, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Collector necklace. Id: 19886, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Imperial Staff. Id: 18629, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic legs. Id: 23023, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Mystic body. Id: 23022, amount: 1	
[4/23/23 08:15AM] Received item from Demon. Name: Godly Gloves. Id: 14055, amount: 1	
[4/23/23 09:17AM] Gave item to Demon. Name: Imperial Staff. Id: 18629, amount: 1	
[4/23/23 09:17AM] Received item from Demon. Name: Nagi Legs. Id: 21064, amount: 1	
[4/23/23 09:40AM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 12	
[4/23/23 09:40AM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 6	
[4/23/23 10:53AM] Received item from Demon. Name: Antique Body. Id: 8817, amount: 1	
[4/23/23 10:53AM] Received item from Demon. Name: Zinq body. Id: 23051, amount: 1	
[4/23/23 10:53AM] Received item from Demon. Name: Godly Legs. Id: 14052, amount: 1	
[4/23/23 05:04PM] Gave item to Demon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/23/23 05:04PM] Gave item to Demon. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/23/23 05:04PM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 27	
[4/23/23 05:04PM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 13	
[4/23/23 05:24PM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 3	
[4/23/23 05:24PM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 5	
[4/23/23 07:03PM] Received item from Demon. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/23/23 07:09PM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 6	
[4/23/23 07:09PM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 10	
[4/24/23 06:05AM] Received item from Demon. Name: Collector necklace. Id: 19886, amount: 1	
[4/24/23 06:06AM] Gave item to Demon. Name: Collector necklace. Id: 19886, amount: 1	
[4/24/23 11:04AM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 18	
[4/24/23 11:04AM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 44	
[4/24/23 03:00PM] Gave item to Demon. Name: Cursed Box. Id: 15003, amount: 1	
[4/24/23 03:00PM] Gave item to Demon. Name: Progressive Box [T1]. Id: 10025, amount: 3	
[4/24/23 03:00PM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 20	
[4/24/23 03:00PM] Gave item to Demon. Name: Vote scroll. Id: 23020, amount: 6	
[4/25/23 06:04AM] Gave item to Berry. Name: Vote scroll. Id: 23020, amount: 9	
[4/25/23 06:09AM] Gave item to Demon. Name: $1 Scroll. Id: 10946, amount: 24	
[4/25/23 06:09AM] Gave item to Demon. Name: Slayer casket. Id: 2734, amount: 3	
