[4/17/23 09:52AM] Gave item to Kensas. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 09:52AM] Gave item to Kensas. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/17/23 09:52AM] Gave item to Kensas. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/17/23 09:52AM] Gave item to Kensas. Name: Owner cape goodiebag. Id: 3578, amount: 1	
[4/17/23 09:52AM] Received item from Kensas. Name: Sacred Scythe. Id: 17664, amount: 1	
[4/17/23 09:52AM] Received item from Kensas. Name: Inferno Helm. Id: 13300, amount: 1	
[4/17/23 09:52AM] Received item from Kensas. Name: Antique Body. Id: 8817, amount: 1	
[4/17/23 09:52AM] Received item from Kensas. Name: Tormented Legs. Id: 21038, amount: 1	
[4/17/23 10:08AM] Received item from Onlyfans. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 11:22AM] Gave item to Alakazam. Name: Tarn token. Id: 10835, amount: 18022	
[4/17/23 11:22AM] Received item from Alakazam. Name: Maze Legs. Id: 5428, amount: 1	
[4/17/23 11:22AM] Received item from Alakazam. Name: Sinful Top. Id: 14732, amount: 1	
[4/17/23 11:34AM] Received item from Like My Peep. Name: Infinite prayer potion (T3). Id: 23123, amount: 1	
[4/17/23 11:38AM] Gave item to Onlyfans. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/17/23 11:38AM] Gave item to Onlyfans. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/17/23 11:38AM] Gave item to Onlyfans. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/17/23 11:38AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 50000	
[4/17/23 11:39AM] Gave item to Alakazam. Name: Tarn token. Id: 10835, amount: 50701	
[4/17/23 11:39AM] Received item from Alakazam. Name: Collector necklace. Id: 19886, amount: 1	
[4/17/23 12:00PM] Received item from Fpk Merk. Name: Progressive Box [T1]. Id: 10025, amount: 2	
[4/17/23 12:02PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 9	
[4/17/23 12:02PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 135000	
[4/17/23 12:24PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 12:24PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 50000	
[4/17/23 12:30PM] Gave item to Jroc. Name: $10 Bond. Id: 23057, amount: 1	
[4/17/23 12:30PM] Received item from Jroc. Name: Rogue Aura. Id: 12610, amount: 1	
[4/17/23 12:34PM] Gave item to Onlyfans. Name: $10 Bond. Id: 23057, amount: 2	
[4/17/23 12:34PM] Received item from Onlyfans. Name: Blood Vitur. Id: 8136, amount: 1	
[4/17/23 12:35PM] Gave item to Onlyfans. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 12:37PM] Gave item to X. Name: Vote scroll. Id: 23020, amount: 1	
[4/17/23 12:37PM] Received item from X. Name: Tarn token. Id: 10835, amount: 20000	
[4/17/23 01:55PM] Received item from Like My Peep. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 01:55PM] Received item from Like My Peep. Name: Emerald Body. Id: 11002, amount: 1	
[4/17/23 01:55PM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 01:55PM] Received item from Like My Peep. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 01:58PM] Received item from Zaryte. Name: Godly Helm. Id: 14050, amount: 1	
[4/17/23 02:06PM] Gave item to Ronnie V2. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/17/23 02:06PM] Received item from Ronnie V2. Name: Tarn token. Id: 10835, amount: 50000	
[4/17/23 02:12PM] Gave item to 2147m. Name: Godly Helm. Id: 14050, amount: 1	
[4/17/23 02:12PM] Gave item to 2147m. Name: Maze Legs. Id: 5428, amount: 1	
[4/17/23 02:12PM] Gave item to 2147m. Name: Maze Body. Id: 5422, amount: 1	
[4/17/23 02:12PM] Received item from 2147m. Name: Tarn token. Id: 10835, amount: 60840	
[4/17/23 02:14PM] Gave item to 2147m. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/17/23 02:14PM] Gave item to Chibi. Name: Lava bones. Id: 2023, amount: 999	
[4/18/23 12:32PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 309063	
[4/18/23 12:32PM] Received item from Onlyfans. Name: Lili Body. Id: 22137, amount: 1	
[4/18/23 12:32PM] Received item from Onlyfans. Name: Adamant platebody (h4). Id: 19491, amount: 1	
[4/18/23 12:32PM] Received item from Onlyfans. Name: Malvek Legs. Id: 19158, amount: 1	
[4/18/23 02:24PM] Gave item to Onlyfans. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 02:24PM] Received item from Onlyfans. Name: Soldier Sword Off-Hand. Id: 23080, amount: 1	
[4/18/23 02:24PM] Received item from Onlyfans. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/18/23 02:28PM] Gave item to Onlyfans. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 02:28PM] Received item from Onlyfans. Name: Fighter Legs. Id: 14313, amount: 1	
[4/19/23 10:59AM] Gave item to Zshana. Name: Tarn token. Id: 10835, amount: 1234236	
[4/19/23 10:59AM] Received item from Zshana. Name: Evil Scythe. Id: 22133, amount: 1	
[4/19/23 11:49AM] Gave item to Aspas. Name: Deviant Body. Id: 21021, amount: 1	
[4/19/23 11:49AM] Gave item to Aspas. Name: Deviant Legs. Id: 21022, amount: 1	
[4/19/23 11:49AM] Received item from Aspas. Name: Tarn token. Id: 10835, amount: 226607	
[4/19/23 11:49AM] Gave item to Suh. Name: $1 Scroll. Id: 10946, amount: 16	
[4/19/23 11:49AM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 800000	
[4/19/23 11:53AM] Gave item to Aspas. Name: Unknown Boots. Id: 21047, amount: 1	
[4/19/23 11:53AM] Gave item to Aspas. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/19/23 11:53AM] Gave item to Aspas. Name: Unknown Cape. Id: 21045, amount: 1	
