[4/19/23 08:23PM] Received item from Djnj. Name: Godly Helm. Id: 14050, amount: 1	
[4/19/23 08:23PM] Received item from Djnj. Name: Godly Body. Id: 14051, amount: 1	
[4/19/23 08:23PM] Received item from Djnj. Name: Godly Legs. Id: 14052, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Godly Bow. Id: 21018, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Executive Cape. Id: 9939, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Executive Gloves. Id: 8273, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Executive Boots. Id: 8274, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Executive Helm. Id: 4684, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Executive Legs. Id: 4686, amount: 1	
[4/19/23 08:29PM] Received item from A Fatality. Name: Lava bones. Id: 2023, amount: 5130	
[4/19/23 08:31PM] Received item from A Fatality. Name: Saint Body. Id: 21029, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial body. Id: 20087, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial legs. Id: 20088, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial boots. Id: 20089, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial ring. Id: 20093, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial Box. Id: 14487, amount: 1	
[4/19/23 08:42PM] Gave item to Kar9k1ll3r. Name: Imperial Box. Id: 14487, amount: 1	
[4/19/23 11:31PM] Gave item to A Fatality. Name: $1 Scroll. Id: 10946, amount: 2	
[4/19/23 11:31PM] Received item from A Fatality. Name: Tarn token. Id: 10835, amount: 110000	
[4/19/23 11:38PM] Gave item to Entropy. Name: Tarn token. Id: 10835, amount: 127835	
[4/19/23 11:38PM] Gave item to Entropy. Name: Saint Body. Id: 21029, amount: 1	
[4/19/23 11:38PM] Received item from Entropy. Name: Executive Bow. Id: 5012, amount: 1	
[4/20/23 12:07AM] Gave item to Duke. Name: Vote scroll. Id: 23020, amount: 4	
[4/20/23 12:07AM] Received item from Duke. Name: Tarn token. Id: 10835, amount: 120000	
[4/20/23 12:17AM] Gave item to Scary Terry. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 12:17AM] Received item from Scary Terry. Name: Tarn token. Id: 10835, amount: 250000	
[4/20/23 09:57AM] Gave item to Multi. Name: Nite Hammer. Id: 17698, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Tarn token. Id: 10835, amount: 141729	
[4/22/23 10:36PM] Gave item to Slayer. Name: Groudon Staff. Id: 13640, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Groudon Shield. Id: 13964, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Green stone. Id: 15251, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Crystal. Id: 2381, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 10:36PM] Gave item to Slayer. Name: Slayer ticket. Id: 5023, amount: 54	
[4/22/23 10:36PM] Received item from Slayer. Name: Virtuos Wand. Id: 14305, amount: 1	
[4/22/23 10:43PM] Gave item to Slayer. Name: Nite Body. Id: 17616, amount: 1	
[4/22/23 10:43PM] Gave item to Slayer. Name: Demonlord Helm. Id: 14184, amount: 1	
[4/22/23 10:43PM] Gave item to Slayer. Name: Blood Gloves. Id: 16194, amount: 1	
[4/22/23 10:43PM] Gave item to Slayer. Name: Nagi Ring. Id: 21069, amount: 1	
[4/22/23 10:43PM] Received item from Slayer. Name: Groudon Shield. Id: 13964, amount: 1	
[4/23/23 05:36PM] Gave item to Balkan. Name: Groudon Shield. Id: 13964, amount: 1	
[4/23/23 05:36PM] Gave item to Balkan. Name: Doom Aura. Id: 12614, amount: 1	
[4/23/23 05:36PM] Gave item to Balkan. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/23/23 05:36PM] Received item from Balkan. Name: Vote scroll. Id: 23020, amount: 6	
[4/23/23 05:36PM] Received item from Balkan. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/23/23 05:36PM] Received item from Balkan. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/23/23 05:36PM] Received item from Balkan. Name: Tarn token. Id: 10835, amount: 601660	
[4/23/23 05:47PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 1859256	
[4/23/23 05:47PM] Gave item to Onlyfans. Name: $25 Bond. Id: 23058, amount: 1	
[4/23/23 05:47PM] Received item from Onlyfans. Name: Black Goku Boots. Id: 14444, amount: 1	
[4/23/23 09:33PM] Gave item to Grunt Monk. Name: Inferno Shield. Id: 13306, amount: 1	
[4/23/23 09:33PM] Gave item to Grunt Monk. Name: Nagi Amulet. Id: 21068, amount: 1	
[4/23/23 09:33PM] Gave item to Grunt Monk. Name: Varth Body. Id: 22146, amount: 1	
[4/23/23 09:35PM] Gave item to Grunt Monk. Name: Lili Legs. Id: 22138, amount: 1	
[4/23/23 09:35PM] Gave item to Grunt Monk. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/23/23 09:35PM] Gave item to Grunt Monk. Name: Yellow stone. Id: 15250, amount: 1	
[4/23/23 09:35PM] Gave item to Grunt Monk. Name: Champion Legs. Id: 15935, amount: 1	
[4/23/23 09:36PM] Gave item to Grunt Monk. Name: Solar Staff. Id: 22135, amount: 1	
[4/23/23 09:59PM] Gave item to Grunt Monk. Name: Obsidian Wings. Id: 23068, amount: 1	
[4/23/23 09:59PM] Received item from Grunt Monk. Name: Blurite Cape. Id: 20400, amount: 1	
[4/23/23 11:52PM] Gave item to A Fatality. Name: Black Goku Boots. Id: 14444, amount: 1	
[4/23/23 11:52PM] Received item from A Fatality. Name: Tarn token. Id: 10835, amount: 14000000	
