[4/15/23 10:12AM] Gave item to Zshana. Name: Inferno Helm. Id: 13300, amount: 1	
[4/17/23 12:37PM] Gave item to Akuna. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 11:37AM] Gave item to Zaryte. Name: Owner's Aura. Id: 22238, amount: 1	
[4/19/23 11:37AM] Received item from Zaryte. Name: Solar Staff. Id: 22135, amount: 1	
[4/19/23 11:37AM] Received item from Zaryte. Name: Elite Staff. Id: 8412, amount: 1	
[4/19/23 12:04PM] Gave item to Resi. Name: Solar Staff. Id: 22135, amount: 1	
[4/19/23 12:04PM] Received item from Resi. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/19/23 12:04PM] Received item from Resi. Name: $1 Scroll. Id: 10946, amount: 24	
[4/19/23 12:04PM] Received item from Resi. Name: $25 Bond. Id: 23058, amount: 1	
[4/19/23 12:04PM] Received item from Resi. Name: $10 Bond. Id: 23057, amount: 1	
[4/21/23 08:12AM] Gave item to Mana. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 08:12AM] Received item from Mana. Name: Tarn token. Id: 10835, amount: 22076435	
[4/21/23 10:42AM] Gave item to Heropt. Name: Agumon Bow. Id: 22155, amount: 1	
[4/21/23 10:42AM] Received item from Heropt. Name: $25 Bond. Id: 23058, amount: 6	
[4/21/23 10:42AM] Received item from Heropt. Name: $10 Bond. Id: 23057, amount: 4	
[4/21/23 10:42AM] Received item from Heropt. Name: $1 Scroll. Id: 10946, amount: 98	
[4/21/23 10:42AM] Received item from Heropt. Name: Tarn token. Id: 10835, amount: 9126525	
[4/21/23 12:46PM] Gave item to Oblivion. Name: Owner's Aura. Id: 22238, amount: 1	
[4/21/23 12:46PM] Received item from Oblivion. Name: Owner's Halo. Id: 22239, amount: 1	
[4/21/23 04:41PM] Gave item to Yamaha. Name: Solar Hood. Id: 15645, amount: 1	
[4/24/23 03:50AM] Gave item to Arab. Name: Owner's Helm. Id: 22232, amount: 1	
[4/24/23 03:50AM] Received item from Arab. Name: Owner's Wings. Id: 22237, amount: 1	
[4/24/23 03:52AM] Gave item to Onlyfans. Name: Owner's Legs. Id: 22234, amount: 1	
[4/24/23 03:52AM] Received item from Onlyfans. Name: Black Goku Head. Id: 14440, amount: 1	
[4/24/23 03:52AM] Received item from Onlyfans. Name: Black Goku Body. Id: 14446, amount: 1	
[4/24/23 03:52AM] Received item from Onlyfans. Name: Black Goku Legs. Id: 14438, amount: 1	
[4/24/23 03:52AM] Received item from Onlyfans. Name: Deathbringer bow. Id: 12843, amount: 1	
[4/24/23 03:52AM] Received item from Onlyfans. Name: $100 Bond. Id: 23059, amount: 2	
[4/24/23 01:44PM] Gave item to Vetbrazil. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/24/23 01:44PM] Received item from Vetbrazil. Name: Tarn token. Id: 10835, amount: 8092492	
