[4/21/23 09:47AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/21/23 09:47AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/21/23 09:49AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/21/23 09:51AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/21/23 09:52AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/21/23 01:17PM] Player dropped item: Progressive Box [T1], id: 10025, amount: 4	
[4/21/23 01:56PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/21/23 02:02PM] Player dropped item: Collector necklace, id: 19886, amount: 1	
[4/21/23 02:36PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 05:27PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/21/23 05:27PM] Player dropped item: Zircon (Warrior), id: 23094, amount: 1	
[4/22/23 05:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 05:56AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 06:24AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 06:38AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 06:51AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 07:20AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 07:51AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 07:55AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/22/23 07:56AM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/22/23 08:27AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 08:38AM] Player dropped item: Collector necklace, id: 19886, amount: 1	
[4/22/23 08:38AM] Player dropped item: Collector necklace, id: 19886, amount: 1	
[4/22/23 08:40AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 08:50AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 09:05AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 09:15AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/22/23 10:43AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 10:52AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 10:55AM] Player dropped item: Cannon base, id: 6, amount: 1	
[4/22/23 10:55AM] Player dropped item: Cannon furnace, id: 12, amount: 1	
[4/22/23 10:55AM] Player dropped item: Cannon barrels, id: 10, amount: 1	
[4/22/23 10:56AM] Player dropped item: Cannon stand, id: 8, amount: 1	
[4/22/23 10:56AM] Player dropped item: Cannonball, id: 2, amount: 25500	
[4/22/23 11:11AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 01:12PM] Player dropped item: Imperial Box, id: 14487, amount: 1	
[4/22/23 02:54PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 05:52PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 04:21AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 04:42AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 04:49AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 05:02AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 05:19AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:21AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:34AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:06AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:13AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 01:14PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 01:24PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 01:34PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 01:54PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 02:02PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 03:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 03:41PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 05:16PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 03:28AM] Player dropped item: Infinite overload potion (T1), id: 23124, amount: 1	
[4/24/23 03:45AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 04:01AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 04:56AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 05:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 05:19AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 05:39AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 06:01AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 06:05AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 06:49AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 06:50AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 08:15AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 10:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 12:01PM] Player dropped item: Infinite overload potion (T1), id: 23124, amount: 1	
[4/24/23 01:46PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 02:22PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 02:24PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 05:25PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 05:29PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 05:46PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/24/23 05:47PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/25/23 03:41AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/25/23 03:42AM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
