[4/22/23 12:52PM] Player dropped item: Fury shark, id: 17818, amount: 100	
[4/22/23 01:06PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/22/23 01:06PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/22/23 01:12PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/22/23 01:13PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/22/23 01:13PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/22/23 01:13PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/22/23 01:13PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/22/23 01:13PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/22/23 01:20PM] Player dropped item: Super restore (2), id: 3028, amount: 1	
[4/22/23 01:20PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/22/23 01:20PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/22/23 01:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 01:32PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 01:32PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 02:04PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 02:04PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 02:50PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 03:06PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 05:06PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 05:06PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 02:21AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 02:32AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 05:47AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:06AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:24AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:33AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:49AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 06:57AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:05AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:13AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:24AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:46AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 07:59AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:05AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:26AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:28AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 08:33AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:33AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 08:43AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 08:57AM] Player dropped item: Vial, id: 229, amount: 1	
