[4/23/23 09:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 09:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Matty B	
[4/23/23 09:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 09:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Matty B	
[4/23/23 09:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Matty B	
[4/23/23 09:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Matty B	
[4/23/23 10:05AM] Player picked up item: Starter Defender, id: 19914, amount: 1, owner: Matty B	
[4/23/23 10:07AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Matty B	
[4/23/23 10:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:13AM] Player picked up item: Coin, id: 995, amount: 500, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 2140533, owner: Matty B	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Matty B	
[4/23/23 11:13AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/23/23 11:16AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Matty B	
[4/23/23 11:16AM] Player picked up item: Coin, id: 995, amount: 700, owner: Matty B	
[4/23/23 11:17AM] Player picked up item: Coin, id: 995, amount: 700, owner: Matty B	
[4/23/23 11:17AM] Player picked up item: Coin, id: 995, amount: 700, owner: Matty B	
[4/23/23 11:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/23/23 11:17AM] Player picked up item: Coin, id: 995, amount: 700, owner: Matty B	
[4/23/23 11:17AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Matty B	
[4/23/23 11:20AM] Player picked up item: Coin, id: 995, amount: 800, owner: Matty B	
[4/23/23 11:20AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Matty B	
[4/23/23 11:22AM] Player picked up item: Coin, id: 995, amount: 800, owner: Matty B	
[4/23/23 11:23AM] Player picked up item: Coin, id: 995, amount: 800, owner: Matty B	
[4/23/23 11:23AM] Player picked up item: Coin, id: 995, amount: 800, owner: Matty B	
[4/23/23 11:24AM] Player picked up item: Coin, id: 995, amount: 800, owner: Matty B	
[4/23/23 11:25AM] Player picked up item: Coin, id: 995, amount: 1313627, owner: Matty B	
[4/23/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 1800, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 2400, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:20AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Matty B	
[4/26/23 06:20AM] Player picked up item: Coin, id: 995, amount: 600, owner: Matty B	
[4/26/23 06:21AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Matty B	
[4/26/23 06:21AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Matty B	
[4/26/23 06:21AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Matty B	
[4/26/23 06:22AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Matty B	
[4/26/23 06:22AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Matty B	
[4/26/23 06:22AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Matty B	
[4/26/23 06:22AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Matty B	
[4/26/23 06:22AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Matty B	
