[4/22/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:35PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aynxs	
[4/22/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aynxs	
[4/22/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aynxs	
[4/22/23 11:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Aynxs	
[4/22/23 11:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Aynxs	
[4/22/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aynxs	
