[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Aj	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Aj	
[4/21/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:27PM] Player picked up item: Coin, id: 995, amount: 400, owner: Aj	
[4/21/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aj	
[4/21/23 03:28PM] Player picked up item: Coin, id: 995, amount: 400, owner: Aj	
[4/21/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Aj	
[4/21/23 03:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Aj	
[4/21/23 03:33PM] Player picked up item: Coin, id: 995, amount: 2081658, owner: Aj	
[4/21/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Aj	
[4/21/23 03:34PM] Player picked up item: Coin, id: 995, amount: 3214963, owner: Aj	
[4/21/23 03:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Aj	
[4/21/23 03:39PM] Player picked up item: Coin, id: 995, amount: 400, owner: Aj	
[4/21/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 03:39PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Aj	
[4/21/23 03:39PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Aj	
[4/21/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Aj	
[4/21/23 03:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Aj	
[4/21/23 03:42PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Aj	
[4/21/23 03:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Aj	
[4/21/23 03:51PM] Player picked up item: Coin, id: 995, amount: 600, owner: Aj	
[4/21/23 03:56PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Aj	
[4/21/23 03:57PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Aj	
[4/21/23 03:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Aj	
[4/21/23 04:00PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Aj	
[4/21/23 04:04PM] Player picked up item: Coin, id: 995, amount: 1809011, owner: Aj	
[4/21/23 04:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Aj	
