[4/21/23 11:34PM] Player picked up item: Coin, id: 995, amount: 1655128, owner: Hi	
[4/21/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/21/23 11:35PM] Player picked up item: Coin, id: 995, amount: 3938651, owner: Hi	
[4/21/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 07:35PM] Player picked up item: Coin, id: 995, amount: 3580549, owner: Hi	
[4/22/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 07:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/22/23 07:40PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/22/23 07:44PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/22/23 07:44PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/22/23 08:33PM] Player picked up item: Coin, id: 995, amount: 1838997, owner: Hi	
[4/22/23 08:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/22/23 08:34PM] Player picked up item: Coin, id: 995, amount: 3811735, owner: Hi	
[4/22/23 08:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 08:35PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/22/23 08:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
[4/22/23 09:34PM] Player picked up item: Coin, id: 995, amount: 1902857, owner: Hi	
[4/22/23 09:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/22/23 09:35PM] Player picked up item: Coin, id: 995, amount: 4139189, owner: Hi	
[4/22/23 09:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 09:51PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/22/23 09:51PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/22/23 10:33PM] Player picked up item: Coin, id: 995, amount: 2402178, owner: Hi	
[4/22/23 10:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/22/23 10:34PM] Player picked up item: Coin, id: 995, amount: 3134213, owner: Hi	
[4/22/23 10:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 10:35PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/22/23 10:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/22/23 11:08PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/22/23 11:08PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/22/23 11:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/22/23 11:10PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/22/23 11:33PM] Player picked up item: Coin, id: 995, amount: 1881034, owner: Hi	
[4/22/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/22/23 11:34PM] Player picked up item: Coin, id: 995, amount: 3987277, owner: Hi	
[4/22/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/22/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/22/23 11:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/22/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/22/23 11:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
[4/23/23 12:33AM] Player picked up item: Coin, id: 995, amount: 1179133, owner: Hi	
[4/23/23 12:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/23/23 12:34AM] Player picked up item: Coin, id: 995, amount: 3791250, owner: Hi	
[4/23/23 12:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/23/23 12:36AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/23/23 12:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/23/23 12:51AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/23/23 12:51AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/23/23 01:35AM] Player picked up item: Coin, id: 995, amount: 1027796, owner: Hi	
[4/23/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/23/23 02:33AM] Player picked up item: Coin, id: 995, amount: 1135315, owner: Hi	
[4/23/23 02:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/23/23 02:34AM] Player picked up item: Coin, id: 995, amount: 2997218, owner: Hi	
[4/23/23 02:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/23/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/23/23 02:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/23/23 02:36AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/23/23 02:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
[4/23/23 04:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/23/23 04:32AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
<<<<<<< Updated upstream
[4/26/23 01:16AM] Player picked up item: Coin, id: 995, amount: 2947707, owner: Hi	
[4/26/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/26/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/26/23 01:18AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/26/23 01:20AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/26/23 01:20AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
=======
[4/24/23 01:33AM] Player picked up item: Coin, id: 995, amount: 1756201, owner: Hi	
[4/24/23 01:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/24/23 01:35AM] Player picked up item: Coin, id: 995, amount: 3752121, owner: Hi	
[4/24/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/25/23 03:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hi	
[4/25/23 03:23AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hi	
[4/25/23 03:33AM] Player picked up item: Coin, id: 995, amount: 1680355, owner: Hi	
[4/25/23 03:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/25/23 03:35AM] Player picked up item: Coin, id: 995, amount: 3495102, owner: Hi	
[4/25/23 03:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/25/23 03:38AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
[4/25/23 03:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hi	
[4/25/23 04:35AM] Player picked up item: Coin, id: 995, amount: 2209662, owner: Hi	
[4/25/23 04:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/25/23 04:37AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/25/23 04:37AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
[4/25/23 04:32PM] Player picked up item: Coin, id: 995, amount: 1278888, owner: Hi	
[4/25/23 04:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/25/23 04:34PM] Player picked up item: Coin, id: 995, amount: 3471492, owner: Hi	
[4/25/23 04:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hi	
[4/25/23 04:35PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hi	
[4/25/23 04:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hi	
[4/25/23 05:32PM] Player picked up item: Coin, id: 995, amount: 2135180, owner: Hi	
[4/25/23 05:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hi	
[4/25/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hi	
