[4/18/23 01:45AM] Player picked up item: Coin, id: 995, amount: 200, owner: Thajoka135	
[4/18/23 01:45AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Thajoka135	
[4/18/23 01:47AM] Player picked up item: Coin, id: 995, amount: 700, owner: Thajoka135	
[4/18/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Thajoka135	
[4/18/23 01:48AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Thajoka135	
[4/18/23 01:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:48AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Coin, id: 995, amount: 400, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:49AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Coin, id: 995, amount: 400, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Coin, id: 995, amount: 800, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:51AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Thajoka135	
[4/18/23 01:52AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:52AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Thajoka135	
[4/18/23 01:52AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:53AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:58AM] Player picked up item: Coin, id: 995, amount: 900, owner: Thajoka135	
[4/18/23 01:58AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Thajoka135	
[4/18/23 01:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 01:59AM] Player picked up item: Coin, id: 995, amount: 600, owner: Thajoka135	
[4/18/23 01:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/18/23 01:59AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:59AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 01:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 02:00AM] Player picked up item: Coin, id: 995, amount: 300, owner: Thajoka135	
[4/18/23 02:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 02:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/18/23 07:39PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Thajoka135	
[4/18/23 07:39PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Thajoka135	
[4/18/23 08:07PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Thajoka135	
[4/18/23 08:07PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Thajoka135	
[4/18/23 08:08PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Thajoka135	
[4/18/23 08:08PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Thajoka135	
[4/18/23 08:08PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Thajoka135	
[4/18/23 08:10PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Thajoka135	
[4/18/23 08:11PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Thajoka135	
[4/18/23 08:11PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Thajoka135	
[4/18/23 08:11PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Thajoka135	
[4/18/23 08:11PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Thajoka135	
[4/23/23 01:36AM] Player picked up item: Coin, id: 995, amount: 800, owner: Thajoka135	
[4/23/23 01:38AM] Player picked up item: Coin, id: 995, amount: 800, owner: Thajoka135	
[4/23/23 01:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thajoka135	
[4/23/23 01:40AM] Player picked up item: Coin, id: 995, amount: 2400, owner: Thajoka135	
[4/23/23 01:44AM] Player picked up item: Coin, id: 995, amount: 800, owner: Thajoka135	
[4/23/23 02:05AM] Player picked up item: Coin, id: 995, amount: 1874733, owner: Thajoka135	
[4/23/23 02:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Thajoka135	
[4/23/23 03:00AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Thajoka135	
[4/23/23 10:00AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Thajoka135	
[4/23/23 10:01AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Thajoka135	
[4/23/23 10:03AM] Player picked up item: Coin, id: 995, amount: 7500, owner: Thajoka135	
[4/23/23 10:09AM] Player picked up item: Patience gloves, id: 23037, amount: 1, owner: Thajoka135	
[4/23/23 10:09AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Thajoka135	
[4/23/23 10:10AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Thajoka135	
[4/23/23 10:12AM] Player picked up item: Patience boots, id: 23038, amount: 1, owner: Thajoka135	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 1062639, owner: Thajoka135	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Thajoka135	
[4/23/23 10:28AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Thajoka135	
