[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gimp Sweat	
[4/23/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 1303537, owner: Gimp Sweat	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gimp Sweat	
[4/23/23 10:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gimp Sweat	
[4/23/23 10:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Gimp Sweat	
