[4/22/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Coin, id: 995, amount: 100, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Coin, id: 995, amount: 100, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Coin, id: 995, amount: 100, owner: Holytokes	
[4/22/23 06:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/22/23 06:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Holytokes	
[4/22/23 06:21PM] Player picked up item: Coin, id: 995, amount: 100, owner: Holytokes	
[4/22/23 06:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Holytokes	
[4/22/23 06:21PM] Player picked up item: Coin, id: 995, amount: 100, owner: Holytokes	
[4/22/23 06:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/22/23 06:24PM] Player picked up item: Coin, id: 995, amount: 400, owner: Holytokes	
[4/22/23 06:24PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Holytokes	
[4/22/23 06:25PM] Player picked up item: Coin, id: 995, amount: 600, owner: Holytokes	
[4/22/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Holytokes	
[4/22/23 06:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Holytokes	
[4/22/23 06:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/22/23 06:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Holytokes	
[4/22/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Holytokes	
[4/22/23 06:28PM] Player picked up item: Coin, id: 995, amount: 600, owner: Holytokes	
[4/22/23 06:28PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Holytokes	
[4/22/23 06:29PM] Player picked up item: Coin, id: 995, amount: 400, owner: Holytokes	
[4/22/23 06:29PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Holytokes	
[4/22/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Holytokes	
[4/22/23 06:35PM] Player picked up item: Coin, id: 995, amount: 3538365, owner: Holytokes	
[4/22/23 06:35PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Holytokes	
[4/22/23 06:36PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Holytokes	
[4/22/23 06:36PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Holytokes	
[4/23/23 09:14PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Holytokes	
[4/23/23 09:14PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Holytokes	
[4/23/23 09:14PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Holytokes	
[4/23/23 09:14PM] Player picked up item: Coin, id: 995, amount: 600, owner: Holytokes	
[4/23/23 09:14PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/23/23 09:15PM] Player picked up item: Coin, id: 995, amount: 600, owner: Holytokes	
[4/23/23 09:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Holytokes	
[4/23/23 09:15PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Holytokes	
[4/23/23 09:25PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Holytokes	
[4/23/23 09:26PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Holytokes	
[4/23/23 09:26PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Holytokes	
[4/23/23 09:26PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Holytokes	
[4/23/23 09:26PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Holytokes	
[4/23/23 09:26PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Holytokes	
[4/23/23 09:27PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Holytokes	
[4/23/23 09:27PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Holytokes	
[4/23/23 09:28PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Holytokes	
