[4/23/23 10:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Final Hour	
[4/23/23 10:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Final Hour	
[4/23/23 10:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Final Hour	
[4/23/23 10:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:45AM] Player picked up item: Coin, id: 995, amount: 200, owner: Final Hour	
[4/23/23 10:46AM] Player picked up item: Coin, id: 995, amount: 400, owner: Final Hour	
[4/23/23 10:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Coin, id: 995, amount: 600, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Coin, id: 995, amount: 400, owner: Final Hour	
[4/23/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:49AM] Player picked up item: Coin, id: 995, amount: 400, owner: Final Hour	
[4/23/23 10:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:55AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Final Hour	
[4/23/23 11:01AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Final Hour	
[4/23/23 11:28AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Final Hour	
[4/23/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 11:29AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Final Hour	
[4/23/23 11:30AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Final Hour	
[4/23/23 11:31AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Final Hour	
[4/23/23 11:32AM] Player picked up item: Coin, id: 995, amount: 700, owner: Final Hour	
[4/23/23 11:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 11:33AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Final Hour	
[4/23/23 11:34AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Final Hour	
[4/23/23 11:35AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Final Hour	
[4/23/23 11:35AM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 11:36AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Final Hour	
[4/23/23 11:37AM] Player picked up item: Coin, id: 995, amount: 3200, owner: Final Hour	
[4/23/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Final Hour	
[4/23/23 11:37AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Final Hour	
[4/23/23 11:37AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Final Hour	
[4/23/23 11:37AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Final Hour	
[4/23/23 11:38AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Final Hour	
[4/23/23 11:38AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Final Hour	
[4/23/23 11:38AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Final Hour	
[4/23/23 11:38AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Final Hour	
[4/23/23 11:39AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Final Hour	
[4/23/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 11:44AM] Player picked up item: Coin, id: 995, amount: 1800, owner: Final Hour	
[4/23/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 11:44AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Final Hour	
[4/23/23 09:59PM] Player picked up item: Coin, id: 995, amount: 900, owner: Final Hour	
[4/23/23 09:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:03PM] Player picked up item: Coin, id: 995, amount: 1384064, owner: Final Hour	
[4/23/23 10:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Final Hour	
[4/23/23 10:40PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Final Hour	
[4/23/23 10:41PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Final Hour	
[4/23/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Coin, id: 995, amount: 800, owner: Final Hour	
[4/23/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Final Hour	
