[4/22/23 05:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 05:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 05:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rozaro	
[4/22/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:02PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:02PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/22/23 06:17PM] Player picked up item: Blurite Bow, id: 22175, amount: 1, owner: Rozaro	
[4/22/23 06:17PM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Rozaro	
[4/22/23 06:30PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rozaro	
[4/22/23 06:31PM] Player picked up item: Coin, id: 995, amount: 600, owner: Rozaro	
[4/22/23 06:34PM] Player picked up item: Coin, id: 995, amount: 1940450, owner: Rozaro	
[4/22/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rozaro	
[4/22/23 06:41PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Rozaro	
[4/22/23 06:42PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Rozaro	
[4/22/23 06:42PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rozaro	
